object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['bar', 'dumpster', 'childs room', 'basement', 'freezer']",False
adjustable wrench,childs room,box,"['childs room', 'bar', 'room', 'box', 'house']",False
alarmclock,bedroom,bedroom,"['cellar', 'bedroom', 'trap', 'freezer', 'television room']",True
aluminumfoil,kitchen,kitchen,"['living room', 'attic', 'basement', 'kitchen', 'television room']",True
android figure,exercise room,exercise room,"['basement', 'jar', 'oven', 'exercise room', 'dumpster']",True
anti slip tape,bedroom,bedroom,"['oven', 'can', 'can', 'oven', 'bedroom']",True
antidepressant,playroom,room,"['jar', 'bar', 'room', 'playroom', 'family room']",False
apple,kitchen,kitchen,"['family room', 'kitchen', 'oven', 'room', 'oven']",True
armchair,living room,living room,"['living room', 'lobby', 'can', 'freezer', 'freezer']",True
backpack,storage room,storage room,"['trap', 'family room', 'oven', 'storage room', 'box']",True
balancing cactus,dining room,bar,"['freezer', 'house', 'dining room', 'dumpster', 'bar']",False
banana,pantry room,pantry room,"['attic', 'dumpster', 'bar', 'family room', 'pantry room']",True
baseball,bedroom,box,"['freezer', 'room', 'freezer', 'bedroom', 'box']",False
baseballbat,bedroom,box,"['bedroom', 'jar', 'bathroom', 'box', 'house']",False
basketball,bedroom,attic,"['bedroom', 'attic', 'trap', 'jar', 'freezer']",False
bat,attic,attic,"['attic', 'family room', 'home office', 'box', 'freezer']",True
bath sheet,dining room,cellar,"['room', 'jar', 'dining room', 'dumpster', 'cellar']",False
bathtub,bathroom,bathroom,"['attic', 'family room', 'living room', 'exercise room', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'garage', 'room', 'living room', 'can']",True
batter,box,box,"['box', 'dumpster', 'dining room', 'garage', 'childs room']",True
battery,storage room,storage room,"['oven', 'storage room', 'family room', 'can', 'house']",True
beard color gel,playroom,bar,"['oven', 'playroom', 'trap', 'bar', 'trap']",False
beauty pack,utility room,utility room,"['utility room', 'oven', 'can', 'jar', 'family room']",True
bed,bedroom,bedroom,"['bathroom', 'bedroom', 'childs room', 'living room', 'home office']",True
bleach cleanser,kitchen,kitchen,"['oven', 'family room', 'kitchen', 'attic', 'room']",True
blender jar,dining room,bar,"['dining room', 'jar', 'family room', 'bar', 'attic']",False
blind,kitchen,attic,"['basement', 'kitchen', 'attic', 'playroom', 'trap']",False
board game,lobby,lobby,"['trap', 'jar', 'freezer', 'lobby', 'dumpster']",True
book,bedroom,bedroom,"['bedroom', 'oven', 'box', 'house', 'attic']",True
bookend,playroom,family room,"['family room', 'playroom', 'freezer', 'attic', 'bar']",False
boot,bedroom,closet,"['closet', 'kitchen', 'bedroom', 'corridor', 'house']",False
bottle,kitchen,kitchen,"['closet', 'childs room', 'house', 'kitchen', 'dumpster']",True
bowl,kitchen,kitchen,"['box', 'house', 'can', 'bar', 'kitchen']",True
box,living room,living room,"['oven', 'house', 'trap', 'bar', 'living room']",True
bread,kitchen,kitchen,"['utility room', 'kitchen', 'corridor', 'childs room', 'dumpster']",True
bundt pan,corridor,room,"['attic', 'corridor', 'trap', 'jar', 'room']",False
butter dish,dining room,dining room,"['bar', 'attic', 'dining room', 'freezer', 'trap']",True
butterknife,kitchen,kitchen,"['bedroom', 'family room', 'childs room', 'kitchen', 'bathroom']",True
cabinet,kitchen,kitchen,"['childs room', 'closet', 'trap', 'pantry room', 'kitchen']",True
cake mix,exercise room,none,"['room', 'can', 'trap', 'can', 'exercise room']",False
cake pan,storage room,storage room,"['bar', 'freezer', 'storage room', 'box', 'jar']",True
camera,bedroom,family room,"['bar', 'house', 'bar', 'family room', 'bedroom']",False
can opener,garage,none,"['cellar', 'garage', 'dumpster', 'dumpster', 'trap']",False
candle,bathroom,bedroom,"['childs room', 'bar', 'bedroom', 'bedroom', 'bathroom']",False
candle holder,bathroom,family room,"['bathroom', 'cellar', 'family room', 'can', 'attic']",False
candy,bedroom,box,"['cellar', 'oven', 'bedroom', 'box', 'box']",False
candy bar,playroom,playroom,"['cellar', 'cellar', 'oven', 'basement', 'playroom']",True
canister,dining room,cellar,"['trap', 'dining room', 'cellar', 'jar', 'dumpster']",False
card game,dining room,dining room,"['bar', 'dumpster', 'jar', 'basement', 'dining room']",True
carrying case,childs room,box,"['freezer', 'box', 'oven', 'trap', 'childs room']",False
casserole dish,home office,oven,"['oven', 'home office', 'basement', 'trap', 'box']",False
cd,bedroom,box,"['bedroom', 'kitchen', 'box', 'house', 'lobby']",False
cellphone,living room,room,"['living room', 'room', 'trap', 'exercise room', 'bathroom']",False
cereal,exercise room,jar,"['bar', 'jar', 'cellar', 'basement', 'exercise room']",False
chain,playroom,cellar,"['family room', 'bar', 'playroom', 'bar', 'cellar']",False
chair,bedroom,dining room,"['bedroom', 'dining room', 'home office', 'exercise room', 'cellar']",False
chocolate,exercise room,freezer,"['trap', 'freezer', 'can', 'family room', 'exercise room']",False
chocolate box,exercise room,cellar,"['exercise room', 'jar', 'cellar', 'attic', 'trap']",False
chocolate milk pods,television room,freezer,"['room', 'freezer', 'freezer', 'attic', 'television room']",False
chocolate powder,television room,house,"['television room', 'freezer', 'dumpster', 'house', 'bar']",False
chopping board,dining room,room,"['basement', 'room', 'freezer', 'can', 'dining room']",False
clamp,childs room,attic,"['jar', 'childs room', 'trap', 'attic', 'attic']",False
clay,bathroom,family room,"['bar', 'bathroom', 'freezer', 'freezer', 'family room']",False
clock,home office,home office,"['home office', 'room', 'house', 'dumpster', 'trap']",True
cloth,bathroom,box,"['freezer', 'family room', 'box', 'bathroom', 'dumpster']",False
coffee beans,closet,box,"['attic', 'trap', 'closet', 'oven', 'box']",False
coffee pods,playroom,jar,"['playroom', 'basement', 'jar', 'freezer', 'cellar']",False
coffeemachine,kitchen,kitchen,"['kitchen', 'jar', 'pantry room', 'childs room', 'lobby']",True
coffeemaker,bathroom,bar,"['freezer', 'freezer', 'bathroom', 'room', 'bar']",False
coffeetable,living room,living room,"['kitchen', 'house', 'living room', 'corridor', 'utility room']",True
colored wood blocks,bathroom,box,"['bathroom', 'attic', 'cellar', 'box', 'family room']",False
condiment,home office,home office,"['family room', 'trap', 'room', 'home office', 'dumpster']",True
countertop,bedroom,utility room,"['corridor', 'oven', 'utility room', 'bedroom', 'oven']",False
cracker box,bathroom,attic,"['trap', 'bathroom', 'can', 'room', 'attic']",False
crayon,exercise room,room,"['exercise room', 'trap', 'room', 'freezer', 'house']",False
creditcard,bedroom,house,"['house', 'bedroom', 'bathroom', 'lobby', 'pantry room']",False
cube storage box,lobby,cellar,"['lobby', 'basement', 'bar', 'freezer', 'cellar']",False
cup,kitchen,kitchen,"['trap', 'trap', 'family room', 'kitchen', 'can']",True
curtain,bedroom,bedroom,"['bedroom', 'pantry room', 'house', 'bar', 'dining room']",True
cushion,television room,television room,"['television room', 'house', 'room', 'attic', 'room']",True
desk,living room,living room,"['house', 'attic', 'living room', 'childs room', 'jar']",True
desk caddy,childs room,none,"['childs room', 'jar', 'family room', 'attic', 'box']",False
desklamp,living room,dining room,"['living room', 'playroom', 'utility room', 'jar', 'dining room']",False
desktop,bedroom,bedroom,"['cellar', 'dumpster', 'corridor', 'bedroom', 'bar']",True
diaper pack,home office,none,"['attic', 'home office', 'trap', 'can', 'can']",False
dietary supplement,storage room,storage room,"['cellar', 'jar', 'storage room', 'basement', 'cellar']",True
diningtable,kitchen,kitchen,"['corridor', 'closet', 'freezer', 'kitchen', 'pantry room']",True
dish drainer,exercise room,cellar,"['family room', 'exercise room', 'cellar', 'trap', 'freezer']",False
dishsponge,bathroom,bathroom,"['bathroom', 'box', 'house', 'lobby', 'house']",True
dishtowel,lobby,cellar,"['dumpster', 'cellar', 'lobby', 'cellar', 'oven']",False
dishwasher,kitchen,kitchen,"['childs room', 'dining room', 'kitchen', 'playroom', 'playroom']",True
dispensing closure,television room,basement,"['bar', 'cellar', 'dumpster', 'basement', 'television room']",False
dog bowl,garage,none,"['garage', 'attic', 'oven', 'freezer', 'trap']",False
dog chew toy,corridor,room,"['room', 'attic', 'corridor', 'basement', 'attic']",False
dogbed,bedroom,bedroom,"['exercise room', 'pantry room', 'storage room', 'bedroom', 'garage']",True
dollhouse toy,bathroom,family room,"['freezer', 'family room', 'jar', 'bathroom', 'jar']",False
donut,television room,can,"['dumpster', 'cellar', 'television room', 'can', 'jar']",False
drawer,kitchen,room,"['trap', 'room', 'kitchen', 'storage room', 'basement']",False
dresser,bedroom,bedroom,"['utility room', 'house', 'utility room', 'bedroom', 'oven']",True
drink,can,family room,"['home office', 'house', 'can', 'closet', 'family room']",False
drink coaster,playroom,jar,"['room', 'jar', 'playroom', 'cellar', 'house']",False
dryer,basement,basement,"['basement', 'playroom', 'living room', 'television room', 'closet']",True
duct tape,dining room,dumpster,"['trap', 'room', 'room', 'dumpster', 'dining room']",False
dumbbell,bedroom,basement,"['oven', 'attic', 'freezer', 'basement', 'bedroom']",False
dumbbell rack,living room,room,"['can', 'living room', 'room', 'can', 'room']",False
dustpan and brush,television room,house,"['can', 'television room', 'house', 'can', 'freezer']",False
dutch oven,kitchen,kitchen,"['freezer', 'kitchen', 'family room', 'box', 'house']",True
easter basket,bedroom,family room,"['jar', 'bedroom', 'family room', 'attic', 'dumpster']",False
egg,kitchen,kitchen,"['oven', 'oven', 'kitchen', 'television room', 'house']",True
electric heater,pantry room,room,"['room', 'family room', 'oven', 'trap', 'pantry room']",False
electric toothbrush,closet,closet,"['bar', 'cellar', 'freezer', 'house', 'closet']",True
electronic adapter,kitchen,kitchen,"['trap', 'dumpster', 'oven', 'can', 'kitchen']",True
electronic cable,living room,bar,"['bar', 'living room', 'can', 'oven', 'can']",False
face moisturizer,television room,none,"['can', 'freezer', 'family room', 'television room', 'oven']",False
faucet,bathroom,bathroom,"['bar', 'attic', 'room', 'bathroom', 'dining room']",True
file sorter,living room,living room,"['house', 'house', 'house', 'freezer', 'living room']",True
fingerpaint,kitchen,kitchen,"['house', 'freezer', 'attic', 'trap', 'kitchen']",True
fitness tracker wristband,utility room,house,"['basement', 'basement', 'house', 'utility room', 'can']",False
flashlight,childs room,childs room,"['dumpster', 'dumpster', 'jar', 'childs room', 'house']",True
flat screwdriver,exercise room,box,"['exercise room', 'box', 'basement', 'oven', 'trap']",False
floor,living room,basement,"['television room', 'living room', 'exercise room', 'dumpster', 'basement']",False
floorlamp,living room,living room,"['living room', 'box', 'lobby', 'attic', 'trap']",True
foam brick,television room,trap,"['television room', 'bar', 'trap', 'can', 'can']",False
folder,corridor,family room,"['corridor', 'box', 'basement', 'dumpster', 'family room']",False
fondant,playroom,box,"['basement', 'trap', 'playroom', 'family room', 'box']",False
