object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['freezer', 'childs room', 'bar', 'dumpster', 'basement']",True
adjustable wrench,childs room,box,"['room', 'house', 'box', 'childs room', 'bar']",False
alarmclock,bedroom,bedroom,"['television room', 'trap', 'cellar', 'bedroom', 'freezer']",True
aluminumfoil,kitchen,kitchen,"['attic', 'living room', 'basement', 'television room', 'kitchen']",True
android figure,exercise room,jar,"['basement', 'oven', 'dumpster', 'exercise room', 'jar']",False
anti slip tape,bedroom,bedroom,"['bedroom', 'oven', 'oven', 'can', 'can']",True
antidepressant,playroom,jar,"['bar', 'family room', 'jar', 'room', 'playroom']",False
apple,kitchen,kitchen,"['room', 'family room', 'oven', 'kitchen', 'oven']",True
armchair,living room,living room,"['living room', 'freezer', 'freezer', 'lobby', 'can']",True
backpack,storage room,storage room,"['oven', 'trap', 'family room', 'box', 'storage room']",True
balancing cactus,dining room,dining room,"['freezer', 'bar', 'dumpster', 'dining room', 'house']",True
banana,pantry room,pantry room,"['pantry room', 'attic', 'bar', 'dumpster', 'family room']",True
baseball,bedroom,box,"['box', 'freezer', 'room', 'bedroom', 'freezer']",False
baseballbat,bedroom,box,"['jar', 'box', 'house', 'bedroom', 'bathroom']",False
basketball,bedroom,attic,"['jar', 'attic', 'bedroom', 'trap', 'freezer']",False
bat,attic,family room,"['box', 'attic', 'freezer', 'home office', 'family room']",False
bath sheet,dining room,none,"['room', 'cellar', 'dining room', 'jar', 'dumpster']",False
bathtub,bathroom,bathroom,"['attic', 'bathroom', 'exercise room', 'family room', 'living room']",True
bathtubbasin,bathroom,bathroom,"['can', 'living room', 'garage', 'bathroom', 'room']",True
batter,box,box,"['childs room', 'box', 'dining room', 'dumpster', 'garage']",True
battery,storage room,storage room,"['storage room', 'can', 'family room', 'oven', 'house']",True
beard color gel,playroom,bar,"['bar', 'trap', 'oven', 'trap', 'playroom']",False
beauty pack,utility room,utility room,"['utility room', 'jar', 'family room', 'can', 'oven']",True
bed,bedroom,bedroom,"['home office', 'bedroom', 'bathroom', 'childs room', 'living room']",True
bleach cleanser,kitchen,kitchen,"['family room', 'kitchen', 'oven', 'room', 'attic']",True
blender jar,dining room,jar,"['family room', 'dining room', 'bar', 'attic', 'jar']",False
blind,kitchen,attic,"['kitchen', 'trap', 'attic', 'basement', 'playroom']",False
board game,lobby,lobby,"['dumpster', 'freezer', 'trap', 'jar', 'lobby']",True
book,bedroom,bedroom,"['bedroom', 'box', 'attic', 'house', 'oven']",True
bookend,playroom,family room,"['bar', 'attic', 'family room', 'freezer', 'playroom']",False
boot,bedroom,closet,"['kitchen', 'house', 'bedroom', 'corridor', 'closet']",False
bottle,kitchen,kitchen,"['house', 'dumpster', 'kitchen', 'closet', 'childs room']",True
bowl,kitchen,kitchen,"['bar', 'can', 'box', 'kitchen', 'house']",True
box,living room,living room,"['bar', 'house', 'living room', 'oven', 'trap']",True
bread,kitchen,kitchen,"['utility room', 'corridor', 'childs room', 'kitchen', 'dumpster']",True
bundt pan,corridor,none,"['corridor', 'attic', 'jar', 'room', 'trap']",False
butter dish,dining room,dining room,"['dining room', 'trap', 'attic', 'bar', 'freezer']",True
butterknife,kitchen,kitchen,"['kitchen', 'childs room', 'family room', 'bathroom', 'bedroom']",True
cabinet,kitchen,kitchen,"['kitchen', 'childs room', 'closet', 'trap', 'pantry room']",True
cake mix,exercise room,none,"['exercise room', 'can', 'trap', 'room', 'can']",False
cake pan,storage room,storage room,"['jar', 'bar', 'storage room', 'box', 'freezer']",True
camera,bedroom,family room,"['bedroom', 'house', 'bar', 'bar', 'family room']",False
can opener,garage,none,"['garage', 'dumpster', 'dumpster', 'cellar', 'trap']",False
candle,bathroom,bedroom,"['bedroom', 'bedroom', 'bathroom', 'childs room', 'bar']",False
candle holder,bathroom,family room,"['family room', 'can', 'cellar', 'bathroom', 'attic']",False
candy,bedroom,box,"['box', 'bedroom', 'cellar', 'oven', 'box']",False
candy bar,playroom,playroom,"['cellar', 'basement', 'playroom', 'oven', 'cellar']",True
canister,dining room,jar,"['trap', 'dumpster', 'jar', 'cellar', 'dining room']",False
