object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['bar', 'basement', 'freezer', 'dumpster', 'childs room']",False
adjustable wrench,childs room,box,"['room', 'bar', 'house', 'childs room', 'box']",False
alarmclock,bedroom,bedroom,"['freezer', 'cellar', 'trap', 'television room', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['basement', 'kitchen', 'attic', 'living room', 'television room']",True
android figure,exercise room,basement,"['jar', 'oven', 'basement', 'exercise room', 'dumpster']",False
anti slip tape,bedroom,bedroom,"['can', 'oven', 'bedroom', 'can', 'oven']",True
antidepressant,playroom,jar,"['playroom', 'bar', 'jar', 'family room', 'room']",False
apple,kitchen,kitchen,"['room', 'family room', 'kitchen', 'oven', 'oven']",True
armchair,living room,living room,"['freezer', 'living room', 'freezer', 'lobby', 'can']",True
backpack,storage room,storage room,"['box', 'oven', 'trap', 'family room', 'storage room']",True
balancing cactus,dining room,bar,"['freezer', 'bar', 'dining room', 'house', 'dumpster']",False
banana,pantry room,pantry room,"['bar', 'dumpster', 'attic', 'family room', 'pantry room']",True
baseball,bedroom,box,"['room', 'bedroom', 'freezer', 'freezer', 'box']",False
baseballbat,bedroom,box,"['bedroom', 'box', 'jar', 'house', 'bathroom']",False
basketball,bedroom,bedroom,"['jar', 'bedroom', 'freezer', 'trap', 'attic']",True
bat,attic,family room,"['family room', 'attic', 'box', 'freezer', 'home office']",False
bath sheet,dining room,room,"['cellar', 'dining room', 'jar', 'dumpster', 'room']",False
bathtub,bathroom,bathroom,"['exercise room', 'living room', 'family room', 'attic', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['garage', 'can', 'living room', 'bathroom', 'room']",True
batter,box,box,"['box', 'dining room', 'garage', 'dumpster', 'childs room']",True
battery,storage room,storage room,"['house', 'storage room', 'family room', 'oven', 'can']",True
beard color gel,playroom,bar,"['bar', 'oven', 'trap', 'playroom', 'trap']",False
beauty pack,utility room,jar,"['jar', 'utility room', 'family room', 'can', 'oven']",False
bed,bedroom,bedroom,"['bathroom', 'home office', 'childs room', 'living room', 'bedroom']",True
bleach cleanser,kitchen,kitchen,"['attic', 'kitchen', 'oven', 'room', 'family room']",True
blender jar,dining room,bar,"['jar', 'dining room', 'family room', 'bar', 'attic']",False
blind,kitchen,basement,"['basement', 'kitchen', 'playroom', 'attic', 'trap']",False
board game,lobby,lobby,"['trap', 'dumpster', 'lobby', 'jar', 'freezer']",True
book,bedroom,bedroom,"['box', 'attic', 'oven', 'house', 'bedroom']",True
bookend,playroom,family room,"['attic', 'playroom', 'family room', 'freezer', 'bar']",False
boot,bedroom,closet,"['corridor', 'kitchen', 'closet', 'house', 'bedroom']",False
bottle,kitchen,kitchen,"['closet', 'childs room', 'house', 'dumpster', 'kitchen']",True
bowl,kitchen,kitchen,"['kitchen', 'bar', 'house', 'can', 'box']",True
box,living room,living room,"['oven', 'trap', 'house', 'bar', 'living room']",True
bread,kitchen,kitchen,"['kitchen', 'childs room', 'corridor', 'dumpster', 'utility room']",True
bundt pan,corridor,none,"['room', 'attic', 'corridor', 'trap', 'jar']",False
butter dish,dining room,dining room,"['dining room', 'bar', 'trap', 'attic', 'freezer']",True
butterknife,kitchen,kitchen,"['family room', 'bathroom', 'bedroom', 'childs room', 'kitchen']",True
cabinet,kitchen,kitchen,"['closet', 'pantry room', 'trap', 'kitchen', 'childs room']",True
cake mix,exercise room,can,"['trap', 'can', 'room', 'exercise room', 'can']",False
cake pan,storage room,storage room,"['box', 'freezer', 'jar', 'bar', 'storage room']",True
camera,bedroom,family room,"['family room', 'bedroom', 'bar', 'house', 'bar']",False
can opener,garage,garage,"['dumpster', 'trap', 'cellar', 'garage', 'dumpster']",True
candle,bathroom,bedroom,"['childs room', 'bedroom', 'bedroom', 'bathroom', 'bar']",False
candle holder,bathroom,family room,"['bathroom', 'can', 'cellar', 'family room', 'attic']",False
candy,bedroom,box,"['box', 'box', 'cellar', 'oven', 'bedroom']",False
candy bar,playroom,cellar,"['oven', 'cellar', 'basement', 'playroom', 'cellar']",False
canister,dining room,cellar,"['dining room', 'dumpster', 'cellar', 'jar', 'trap']",False
card game,dining room,dining room,"['bar', 'dining room', 'basement', 'jar', 'dumpster']",True
carrying case,childs room,box,"['oven', 'box', 'childs room', 'freezer', 'trap']",False
