Object,Locations
action figure,"{1: ('television room', 1.0), 2: ('playroom', 1.0), 3: ('dining room', 1.0), 4: ('exercise room', 1.0), 5: ('storage room', 1.0), 6: ('home office', 1.0), 7: ('pantry room', 1.0), 8: ('living room', 1.0), 9: ('closet', 1.0), 10: ('lobby', 1.0), 11: ('utility room', 1.0), 12: ('corridor', 1.0), 13: ('kitchen', 1.0), 14: ('garage', 1.0), 15: ('bathroom', 1.0), 16: ('childs room', 1.0), 17: ('bedroom', 1.0)}"
adjustable wrench,"{1: ('television room', 1.0), 2: ('utility room', 1.0), 3: ('kitchen', 1.0), 4: ('exercise room', 1.0), 5: ('living room', 1.0), 6: ('lobby', 1.0), 7: ('bathroom', 1.0), 8: ('closet', 1.0), 9: ('storage room', 1.0), 10: ('corridor', 1.0), 11: ('home office', 1.0), 12: ('playroom', 1.0), 13: ('childs room', 1.0), 14: ('bedroom', 1.0), 15: ('pantry room', 1.0), 16: ('dining room', 1.0), 17: ('garage', 1.0)}"
alarmclock,"{1: ('bedroom', 1.0)}"
aluminumfoil,"{1: ('kitchen', 1.0)}"
android figure,"{1: ('dining room', 1.0), 2: ('lobby', 1.0), 3: ('garage', 1.0), 4: ('exercise room', 1.0), 5: ('corridor', 1.0), 6: ('bedroom', 1.0), 7: ('pantry room', 1.0), 8: ('home office', 1.0), 9: ('kitchen', 1.0), 10: ('utility room', 1.0), 11: ('playroom', 1.0), 12: ('storage room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('childs room', 1.0), 16: ('closet', 1.0), 17: ('living room', 1.0)}"
anti slip tape,"{1: ('bathroom', 1.0), 2: ('storage room', 1.0), 3: ('lobby', 1.0), 4: ('childs room', 1.0), 5: ('pantry room', 1.0), 6: ('exercise room', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('playroom', 1.0), 10: ('living room', 1.0), 11: ('corridor', 1.0), 12: ('bedroom', 1.0), 13: ('utility room', 1.0), 14: ('closet', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('television room', 1.0)}"
antidepressant,"{1: ('kitchen', 1.0), 2: ('closet', 1.0), 3: ('childs room', 1.0), 4: ('utility room', 1.0), 5: ('exercise room', 1.0), 6: ('corridor', 1.0), 7: ('lobby', 1.0), 8: ('home office', 1.0), 9: ('garage', 1.0), 10: ('bedroom', 1.0), 11: ('television room', 1.0), 12: ('bathroom', 1.0), 13: ('storage room', 1.0), 14: ('pantry room', 1.0), 15: ('living room', 1.0), 16: ('dining room', 1.0), 17: ('playroom', 1.0)}"
apple,"{1: ('kitchen', 2.0), 2: ('storage room', 1.0), 3: ('living room', 1.0), 4: ('home office', 1.0), 5: ('bathroom', 1.0), 6: ('bedroom', 1.0), 7: ('garage', 1.0), 8: ('utility room', 1.0), 9: ('corridor', 1.0), 10: ('playroom', 1.0), 11: ('lobby', 1.0), 12: ('childs room', 1.0), 13: ('pantry room', 1.0), 14: ('dining room', 1.0), 15: ('television room', 1.0), 16: ('exercise room', 1.0), 17: ('closet', 1.0)}"
armchair,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
backpack,"{1: ('lobby', 1.0), 2: ('utility room', 1.0), 3: ('dining room', 1.0), 4: ('bedroom', 1.0), 5: ('closet', 1.0), 6: ('bathroom', 1.0), 7: ('living room', 1.0), 8: ('pantry room', 1.0), 9: ('storage room', 1.0), 10: ('kitchen', 1.0), 11: ('playroom', 1.0), 12: ('childs room', 1.0), 13: ('garage', 1.0), 14: ('corridor', 1.0), 15: ('exercise room', 1.0), 16: ('television room', 1.0), 17: ('home office', 1.0)}"
balancing cactus,"{1: ('exercise room', 1.0), 2: ('bathroom', 1.0), 3: ('television room', 1.0), 4: ('storage room', 1.0), 5: ('living room', 1.0), 6: ('pantry room', 1.0), 7: ('dining room', 1.0), 8: ('closet', 1.0), 9: ('corridor', 1.0), 10: ('playroom', 1.0), 11: ('childs room', 1.0), 12: ('lobby', 1.0), 13: ('bedroom', 1.0), 14: ('garage', 1.0), 15: ('home office', 1.0), 16: ('utility room', 1.0), 17: ('kitchen', 1.0)}"
banana,"{1: ('exercise room', 1.0), 2: ('childs room', 1.0), 3: ('storage room', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('bedroom', 1.0), 7: ('television room', 1.0), 8: ('living room', 1.0), 9: ('home office', 1.0), 10: ('lobby', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('pantry room', 1.0), 14: ('utility room', 1.0), 15: ('kitchen', 1.0), 16: ('dining room', 1.0), 17: ('bathroom', 1.0)}"
baseball,"{1: ('pantry room', 1.0), 2: ('dining room', 1.0), 3: ('living room', 1.0), 4: ('playroom', 1.0), 5: ('lobby', 1.0), 6: ('utility room', 1.0), 7: ('television room', 1.0), 8: ('kitchen', 1.0), 9: ('exercise room', 1.0), 10: ('childs room', 1.0), 11: ('bathroom', 1.0), 12: ('corridor', 1.0), 13: ('bedroom', 1.0), 14: ('closet', 1.0), 15: ('garage', 1.0), 16: ('home office', 1.0), 17: ('storage room', 1.0)}"
baseballbat,"{1: ('bedroom', 1.0)}"
basketball,"{1: ('bedroom', 1.0)}"
bat,"{1: ('attic', 1.0)}"
bath sheet,"{1: ('utility room', 1.0), 2: ('playroom', 1.0), 3: ('childs room', 1.0), 4: ('closet', 1.0), 5: ('living room', 1.0), 6: ('storage room', 1.0), 7: ('bathroom', 1.0), 8: ('lobby', 1.0), 9: ('television room', 1.0), 10: ('dining room', 1.0), 11: ('exercise room', 1.0), 12: ('bedroom', 1.0), 13: ('garage', 1.0), 14: ('corridor', 1.0), 15: ('pantry room', 1.0), 16: ('home office', 1.0), 17: ('kitchen', 1.0)}"
bathtub,"{1: ('bathroom', 1.0)}"
bathtubbasin,"{1: ('bathroom', 1.0)}"
batter,"{1: ('box', 1.0)}"
battery,"{1: ('dining room', 1.0), 2: ('garage', 1.0), 3: ('pantry room', 1.0), 4: ('living room', 1.0), 5: ('corridor', 1.0), 6: ('television room', 1.0), 7: ('bedroom', 1.0), 8: ('playroom', 1.0), 9: ('exercise room', 1.0), 10: ('utility room', 1.0), 11: ('closet', 1.0), 12: ('storage room', 1.0), 13: ('lobby', 1.0), 14: ('home office', 1.0), 15: ('childs room', 1.0), 16: ('kitchen', 1.0), 17: ('bathroom', 1.0)}"
beard color gel,"{1: ('pantry room', 1.0), 2: ('home office', 1.0), 3: ('corridor', 1.0), 4: ('kitchen', 1.0), 5: ('bathroom', 1.0), 6: ('dining room', 1.0), 7: ('childs room', 1.0), 8: ('playroom', 1.0), 9: ('television room', 1.0), 10: ('utility room', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('bedroom', 1.0), 14: ('living room', 1.0), 15: ('storage room', 1.0), 16: ('exercise room', 1.0), 17: ('lobby', 1.0)}"
beauty pack,"{1: ('bedroom', 1.0), 2: ('childs room', 1.0), 3: ('storage room', 1.0), 4: ('living room', 1.0), 5: ('utility room', 1.0), 6: ('lobby', 1.0), 7: ('home office', 1.0), 8: ('playroom', 1.0), 9: ('pantry room', 1.0), 10: ('corridor', 1.0), 11: ('kitchen', 1.0), 12: ('exercise room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('dining room', 1.0), 16: ('garage', 1.0), 17: ('closet', 1.0)}"
bed,"{1: ('bedroom', 1.0)}"
