object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,bar,"['freezer', 'basement', 'dumpster', 'childs room', 'bar']",False
adjustable wrench,childs room,box,"['bar', 'childs room', 'house', 'room', 'box']",False
alarmclock,bedroom,bedroom,"['freezer', 'cellar', 'trap', 'bedroom', 'television room']",True
aluminumfoil,kitchen,kitchen,"['basement', 'attic', 'television room', 'kitchen', 'living room']",True
android figure,exercise room,exercise room,"['dumpster', 'oven', 'exercise room', 'basement', 'jar']",True
anti slip tape,bedroom,bedroom,"['oven', 'can', 'can', 'bedroom', 'oven']",True
antidepressant,playroom,room,"['playroom', 'bar', 'room', 'jar', 'family room']",False
apple,kitchen,kitchen,"['oven', 'oven', 'family room', 'room', 'kitchen']",True
armchair,living room,living room,"['freezer', 'freezer', 'lobby', 'can', 'living room']",True
backpack,storage room,family room,"['box', 'family room', 'oven', 'trap', 'storage room']",False
balancing cactus,dining room,dining room,"['bar', 'house', 'dining room', 'freezer', 'dumpster']",True
banana,pantry room,pantry room,"['attic', 'bar', 'dumpster', 'family room', 'pantry room']",True
baseball,bedroom,box,"['room', 'bedroom', 'freezer', 'box', 'freezer']",False
baseballbat,bedroom,box,"['box', 'house', 'bedroom', 'bathroom', 'jar']",False
basketball,bedroom,bedroom,"['attic', 'bedroom', 'trap', 'jar', 'freezer']",True
bat,attic,box,"['family room', 'home office', 'freezer', 'attic', 'box']",False
bath sheet,dining room,room,"['room', 'dining room', 'jar', 'cellar', 'dumpster']",False
bathtub,bathroom,bathroom,"['bathroom', 'living room', 'exercise room', 'attic', 'family room']",True
bathtubbasin,bathroom,bathroom,"['living room', 'can', 'room', 'garage', 'bathroom']",True
batter,box,dining room,"['childs room', 'dining room', 'dumpster', 'garage', 'box']",False
battery,storage room,storage room,"['can', 'family room', 'storage room', 'house', 'oven']",True
beard color gel,playroom,bar,"['trap', 'bar', 'trap', 'playroom', 'oven']",False
beauty pack,utility room,family room,"['can', 'family room', 'oven', 'jar', 'utility room']",False
bed,bedroom,bedroom,"['home office', 'bedroom', 'living room', 'bathroom', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['room', 'oven', 'kitchen', 'family room', 'attic']",True
blender jar,dining room,bar,"['family room', 'dining room', 'bar', 'jar', 'attic']",False
blind,kitchen,playroom,"['basement', 'trap', 'kitchen', 'attic', 'playroom']",False
board game,lobby,lobby,"['trap', 'jar', 'freezer', 'dumpster', 'lobby']",True
book,bedroom,bedroom,"['attic', 'bedroom', 'box', 'oven', 'house']",True
bookend,playroom,family room,"['attic', 'playroom', 'family room', 'bar', 'freezer']",False
boot,bedroom,closet,"['bedroom', 'kitchen', 'house', 'closet', 'corridor']",False
bottle,kitchen,kitchen,"['childs room', 'dumpster', 'kitchen', 'closet', 'house']",True
bowl,kitchen,kitchen,"['bar', 'kitchen', 'house', 'can', 'box']",True
box,living room,living room,"['oven', 'trap', 'living room', 'house', 'bar']",True
bread,kitchen,kitchen,"['childs room', 'dumpster', 'utility room', 'corridor', 'kitchen']",True
bundt pan,corridor,room,"['attic', 'corridor', 'jar', 'trap', 'room']",False
butter dish,dining room,dining room,"['trap', 'dining room', 'freezer', 'attic', 'bar']",True
butterknife,kitchen,kitchen,"['bathroom', 'family room', 'bedroom', 'kitchen', 'childs room']",True
cabinet,kitchen,kitchen,"['childs room', 'kitchen', 'trap', 'pantry room', 'closet']",True
cake mix,exercise room,room,"['can', 'room', 'trap', 'exercise room', 'can']",False
cake pan,storage room,storage room,"['bar', 'freezer', 'storage room', 'jar', 'box']",True
camera,bedroom,family room,"['bar', 'house', 'bar', 'family room', 'bedroom']",False
can opener,garage,garage,"['trap', 'cellar', 'dumpster', 'garage', 'dumpster']",True
candle,bathroom,bedroom,"['bedroom', 'bedroom', 'bathroom', 'childs room', 'bar']",False
candle holder,bathroom,family room,"['can', 'family room', 'attic', 'cellar', 'bathroom']",False
candy,bedroom,box,"['box', 'box', 'cellar', 'bedroom', 'oven']",False
candy bar,playroom,playroom,"['playroom', 'oven', 'cellar', 'basement', 'cellar']",True
canister,dining room,cellar,"['dining room', 'cellar', 'dumpster', 'trap', 'jar']",False
card game,dining room,dining room,"['dining room', 'basement', 'jar', 'dumpster', 'bar']",True
carrying case,childs room,freezer,"['trap', 'childs room', 'oven', 'box', 'freezer']",False
casserole dish,home office,oven,"['box', 'oven', 'basement', 'trap', 'home office']",False
cd,bedroom,bedroom,"['kitchen', 'box', 'bedroom', 'lobby', 'house']",True
cellphone,living room,living room,"['trap', 'exercise room', 'living room', 'bathroom', 'room']",True
cereal,exercise room,jar,"['cellar', 'basement', 'exercise room', 'bar', 'jar']",False
chain,playroom,cellar,"['bar', 'playroom', 'family room', 'cellar', 'bar']",False
chair,bedroom,dining room,"['exercise room', 'home office', 'bedroom', 'dining room', 'cellar']",False
chocolate,exercise room,can,"['family room', 'freezer', 'trap', 'can', 'exercise room']",False
chocolate box,exercise room,cellar,"['jar', 'cellar', 'attic', 'exercise room', 'trap']",False
chocolate milk pods,television room,freezer,"['freezer', 'attic', 'freezer', 'room', 'television room']",False
chocolate powder,television room,bar,"['television room', 'freezer', 'bar', 'house', 'dumpster']",False
chopping board,dining room,room,"['room', 'freezer', 'can', 'dining room', 'basement']",False
clamp,childs room,trap,"['attic', 'childs room', 'attic', 'trap', 'jar']",False
clay,bathroom,family room,"['bar', 'bathroom', 'family room', 'freezer', 'freezer']",False
clock,home office,home office,"['trap', 'home office', 'room', 'house', 'dumpster']",True
cloth,bathroom,box,"['freezer', 'box', 'dumpster', 'bathroom', 'family room']",False
coffee beans,closet,box,"['oven', 'box', 'attic', 'trap', 'closet']",False
coffee pods,playroom,jar,"['jar', 'basement', 'freezer', 'cellar', 'playroom']",False
coffeemachine,kitchen,kitchen,"['lobby', 'jar', 'childs room', 'pantry room', 'kitchen']",True
coffeemaker,bathroom,bar,"['room', 'freezer', 'bathroom', 'bar', 'freezer']",False
coffeetable,living room,living room,"['corridor', 'kitchen', 'house', 'utility room', 'living room']",True
colored wood blocks,bathroom,family room,"['bathroom', 'box', 'attic', 'cellar', 'family room']",False
condiment,home office,family room,"['home office', 'dumpster', 'trap', 'family room', 'room']",False
countertop,bedroom,utility room,"['oven', 'oven', 'utility room', 'bedroom', 'corridor']",False
cracker box,bathroom,room,"['bathroom', 'room', 'attic', 'can', 'trap']",False
crayon,exercise room,room,"['exercise room', 'room', 'house', 'freezer', 'trap']",False
creditcard,bedroom,bedroom,"['house', 'bedroom', 'lobby', 'bathroom', 'pantry room']",True
cube storage box,lobby,basement,"['cellar', 'lobby', 'bar', 'basement', 'freezer']",False
cup,kitchen,kitchen,"['can', 'family room', 'kitchen', 'trap', 'trap']",True
curtain,bedroom,bedroom,"['pantry room', 'dining room', 'house', 'bar', 'bedroom']",True
cushion,television room,television room,"['television room', 'room', 'attic', 'room', 'house']",True
desk,living room,living room,"['jar', 'attic', 'childs room', 'living room', 'house']",True
desk caddy,childs room,family room,"['attic', 'jar', 'box', 'childs room', 'family room']",False
desklamp,living room,living room,"['utility room', 'playroom', 'jar', 'dining room', 'living room']",True
desktop,bedroom,bedroom,"['corridor', 'bar', 'cellar', 'dumpster', 'bedroom']",True
diaper pack,home office,attic,"['can', 'can', 'home office', 'attic', 'trap']",False
dietary supplement,storage room,storage room,"['jar', 'cellar', 'basement', 'storage room', 'cellar']",True
diningtable,kitchen,kitchen,"['freezer', 'corridor', 'kitchen', 'pantry room', 'closet']",True
dish drainer,exercise room,family room,"['exercise room', 'trap', 'family room', 'freezer', 'cellar']",False
dishsponge,bathroom,bathroom,"['box', 'house', 'bathroom', 'house', 'lobby']",True
dishtowel,lobby,cellar,"['cellar', 'cellar', 'dumpster', 'lobby', 'oven']",False
dishwasher,kitchen,kitchen,"['kitchen', 'childs room', 'dining room', 'playroom', 'playroom']",True
dispensing closure,television room,bar,"['cellar', 'basement', 'dumpster', 'television room', 'bar']",False
dog bowl,garage,garage,"['garage', 'attic', 'oven', 'freezer', 'trap']",True
dog chew toy,corridor,room,"['attic', 'corridor', 'basement', 'attic', 'room']",False
dogbed,bedroom,bedroom,"['bedroom', 'pantry room', 'storage room', 'exercise room', 'garage']",True
dollhouse toy,bathroom,family room,"['jar', 'family room', 'jar', 'freezer', 'bathroom']",False
donut,television room,television room,"['dumpster', 'can', 'television room', 'cellar', 'jar']",True
drawer,kitchen,storage room,"['trap', 'storage room', 'room', 'kitchen', 'basement']",False
dresser,bedroom,bedroom,"['oven', 'bedroom', 'utility room', 'utility room', 'house']",True
drink,can,family room,"['family room', 'house', 'closet', 'home office', 'can']",False
drink coaster,playroom,playroom,"['cellar', 'room', 'jar', 'house', 'playroom']",True
dryer,basement,basement,"['playroom', 'basement', 'living room', 'television room', 'closet']",True
duct tape,dining room,room,"['trap', 'dumpster', 'dining room', 'room', 'room']",False
dumbbell,bedroom,basement,"['basement', 'freezer', 'oven', 'attic', 'bedroom']",False
dumbbell rack,living room,room,"['room', 'can', 'living room', 'room', 'can']",False
dustpan and brush,television room,house,"['television room', 'house', 'freezer', 'can', 'can']",False
dutch oven,kitchen,kitchen,"['box', 'freezer', 'house', 'kitchen', 'family room']",True
easter basket,bedroom,family room,"['family room', 'attic', 'bedroom', 'jar', 'dumpster']",False
egg,kitchen,kitchen,"['oven', 'house', 'television room', 'kitchen', 'oven']",True
electric heater,pantry room,family room,"['pantry room', 'family room', 'trap', 'oven', 'room']",False
electric toothbrush,closet,closet,"['closet', 'freezer', 'house', 'bar', 'cellar']",True
electronic adapter,kitchen,kitchen,"['kitchen', 'trap', 'dumpster', 'oven', 'can']",True
electronic cable,living room,living room,"['can', 'bar', 'can', 'oven', 'living room']",True
face moisturizer,television room,family room,"['television room', 'family room', 'oven', 'can', 'freezer']",False
faucet,bathroom,bathroom,"['attic', 'bathroom', 'bar', 'room', 'dining room']",True
