object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['bar', 'childs room', 'basement', 'dumpster', 'freezer']",True
adjustable wrench,childs room,box,"['bar', 'box', 'house', 'childs room', 'room']",False
alarmclock,bedroom,bedroom,"['cellar', 'television room', 'trap', 'freezer', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'attic', 'living room', 'basement', 'television room']",True
android figure,exercise room,jar,"['dumpster', 'exercise room', 'jar', 'oven', 'basement']",False
anti slip tape,bedroom,bedroom,"['bedroom', 'oven', 'can', 'can', 'oven']",True
antidepressant,playroom,room,"['bar', 'room', 'family room', 'playroom', 'jar']",False
apple,kitchen,kitchen,"['family room', 'kitchen', 'oven', 'room', 'oven']",True
armchair,living room,living room,"['freezer', 'lobby', 'living room', 'can', 'freezer']",True
backpack,storage room,storage room,"['storage room', 'family room', 'trap', 'oven', 'box']",True
balancing cactus,dining room,dining room,"['house', 'dining room', 'freezer', 'dumpster', 'bar']",True
banana,pantry room,pantry room,"['dumpster', 'pantry room', 'bar', 'attic', 'family room']",True
baseball,bedroom,room,"['freezer', 'room', 'bedroom', 'freezer', 'box']",False
baseballbat,bedroom,bedroom,"['jar', 'bedroom', 'house', 'bathroom', 'box']",True
basketball,bedroom,bedroom,"['bedroom', 'jar', 'attic', 'freezer', 'trap']",True
bat,attic,family room,"['family room', 'box', 'home office', 'attic', 'freezer']",False
bath sheet,dining room,cellar,"['dumpster', 'jar', 'cellar', 'dining room', 'room']",False
bathtub,bathroom,bathroom,"['attic', 'living room', 'family room', 'bathroom', 'exercise room']",True
bathtubbasin,bathroom,bathroom,"['living room', 'bathroom', 'can', 'garage', 'room']",True
batter,box,garage,"['dumpster', 'box', 'garage', 'childs room', 'dining room']",False
battery,storage room,storage room,"['oven', 'can', 'house', 'family room', 'storage room']",True
beard color gel,playroom,playroom,"['oven', 'trap', 'trap', 'bar', 'playroom']",True
beauty pack,utility room,family room,"['utility room', 'family room', 'jar', 'can', 'oven']",False
bed,bedroom,bedroom,"['childs room', 'living room', 'bathroom', 'bedroom', 'home office']",True
bleach cleanser,kitchen,kitchen,"['kitchen', 'oven', 'room', 'family room', 'attic']",True
blender jar,dining room,bar,"['dining room', 'jar', 'family room', 'bar', 'attic']",False
blind,kitchen,attic,"['attic', 'basement', 'kitchen', 'playroom', 'trap']",False
board game,lobby,lobby,"['jar', 'lobby', 'trap', 'freezer', 'dumpster']",True
book,bedroom,bedroom,"['box', 'attic', 'oven', 'bedroom', 'house']",True
bookend,playroom,family room,"['bar', 'attic', 'freezer', 'playroom', 'family room']",False
boot,bedroom,closet,"['closet', 'kitchen', 'bedroom', 'house', 'corridor']",False
bottle,kitchen,kitchen,"['kitchen', 'childs room', 'dumpster', 'house', 'closet']",True
bowl,kitchen,kitchen,"['kitchen', 'can', 'house', 'bar', 'box']",True
box,living room,living room,"['trap', 'living room', 'bar', 'oven', 'house']",True
bread,kitchen,kitchen,"['childs room', 'dumpster', 'corridor', 'kitchen', 'utility room']",True
bundt pan,corridor,room,"['room', 'jar', 'attic', 'corridor', 'trap']",False
butter dish,dining room,dining room,"['attic', 'dining room', 'freezer', 'trap', 'bar']",True
butterknife,kitchen,kitchen,"['bathroom', 'bedroom', 'family room', 'kitchen', 'childs room']",True
cabinet,kitchen,kitchen,"['kitchen', 'closet', 'trap', 'childs room', 'pantry room']",True
cake mix,exercise room,room,"['room', 'exercise room', 'trap', 'can', 'can']",False
cake pan,storage room,storage room,"['storage room', 'bar', 'jar', 'freezer', 'box']",True
camera,bedroom,family room,"['house', 'family room', 'bar', 'bar', 'bedroom']",False
can opener,garage,garage,"['cellar', 'dumpster', 'dumpster', 'trap', 'garage']",True
candle,bathroom,bathroom,"['bedroom', 'bar', 'bedroom', 'childs room', 'bathroom']",True
candle holder,bathroom,family room,"['family room', 'cellar', 'attic', 'can', 'bathroom']",False
candy,bedroom,box,"['oven', 'cellar', 'box', 'box', 'bedroom']",False
candy bar,playroom,playroom,"['oven', 'cellar', 'basement', 'cellar', 'playroom']",True
canister,dining room,dining room,"['cellar', 'jar', 'dumpster', 'trap', 'dining room']",True
card game,dining room,bar,"['basement', 'bar', 'dumpster', 'jar', 'dining room']",False
carrying case,childs room,box,"['freezer', 'trap', 'box', 'childs room', 'oven']",False
casserole dish,home office,oven,"['basement', 'oven', 'trap', 'box', 'home office']",False
cd,bedroom,bedroom,"['house', 'bedroom', 'lobby', 'kitchen', 'box']",True
cellphone,living room,living room,"['trap', 'exercise room', 'bathroom', 'living room', 'room']",True
cereal,exercise room,jar,"['basement', 'jar', 'exercise room', 'bar', 'cellar']",False
chain,playroom,bar,"['family room', 'bar', 'playroom', 'cellar', 'bar']",False
chair,bedroom,dining room,"['bedroom', 'dining room', 'home office', 'exercise room', 'cellar']",False
chocolate,exercise room,family room,"['freezer', 'can', 'family room', 'exercise room', 'trap']",False
chocolate box,exercise room,cellar,"['jar', 'trap', 'cellar', 'attic', 'exercise room']",False
chocolate milk pods,television room,freezer,"['room', 'television room', 'freezer', 'attic', 'freezer']",False
chocolate powder,television room,house,"['house', 'bar', 'television room', 'freezer', 'dumpster']",False
chopping board,dining room,dining room,"['dining room', 'basement', 'freezer', 'room', 'can']",True
clamp,childs room,attic,"['attic', 'attic', 'jar', 'childs room', 'trap']",False
clay,bathroom,family room,"['freezer', 'bathroom', 'bar', 'family room', 'freezer']",False
clock,home office,home office,"['room', 'house', 'dumpster', 'home office', 'trap']",True
cloth,bathroom,box,"['bathroom', 'dumpster', 'freezer', 'box', 'family room']",False
coffee beans,closet,box,"['trap', 'attic', 'box', 'closet', 'oven']",False
coffee pods,playroom,jar,"['playroom', 'jar', 'cellar', 'freezer', 'basement']",False
coffeemachine,kitchen,kitchen,"['lobby', 'jar', 'pantry room', 'kitchen', 'childs room']",True
coffeemaker,bathroom,bar,"['room', 'freezer', 'bar', 'freezer', 'bathroom']",False
coffeetable,living room,living room,"['kitchen', 'living room', 'utility room', 'house', 'corridor']",True
colored wood blocks,bathroom,family room,"['bathroom', 'box', 'cellar', 'attic', 'family room']",False
condiment,home office,family room,"['trap', 'family room', 'dumpster', 'room', 'home office']",False
countertop,bedroom,utility room,"['corridor', 'oven', 'bedroom', 'utility room', 'oven']",False
cracker box,bathroom,can,"['bathroom', 'can', 'attic', 'trap', 'room']",False
crayon,exercise room,house,"['exercise room', 'trap', 'freezer', 'house', 'room']",False
creditcard,bedroom,bedroom,"['lobby', 'house', 'bathroom', 'pantry room', 'bedroom']",True
cube storage box,lobby,basement,"['cellar', 'basement', 'bar', 'freezer', 'lobby']",False
cup,kitchen,kitchen,"['can', 'kitchen', 'trap', 'trap', 'family room']",True
curtain,bedroom,bedroom,"['dining room', 'house', 'pantry room', 'bar', 'bedroom']",True
cushion,television room,room,"['room', 'house', 'room', 'attic', 'television room']",False
desk,living room,living room,"['house', 'attic', 'living room', 'childs room', 'jar']",True
desk caddy,childs room,family room,"['jar', 'box', 'attic', 'childs room', 'family room']",False
desklamp,living room,living room,"['utility room', 'living room', 'jar', 'playroom', 'dining room']",True
desktop,bedroom,bedroom,"['cellar', 'corridor', 'bar', 'dumpster', 'bedroom']",True
diaper pack,home office,home office,"['attic', 'can', 'home office', 'trap', 'can']",True
dietary supplement,storage room,storage room,"['jar', 'cellar', 'basement', 'cellar', 'storage room']",True
diningtable,kitchen,kitchen,"['freezer', 'kitchen', 'closet', 'corridor', 'pantry room']",True
dish drainer,exercise room,family room,"['cellar', 'trap', 'exercise room', 'freezer', 'family room']",False
dishsponge,bathroom,bathroom,"['house', 'box', 'lobby', 'house', 'bathroom']",True
dishtowel,lobby,cellar,"['cellar', 'lobby', 'oven', 'cellar', 'dumpster']",False
dishwasher,kitchen,kitchen,"['kitchen', 'playroom', 'dining room', 'childs room', 'playroom']",True
dispensing closure,television room,cellar,"['bar', 'basement', 'cellar', 'dumpster', 'television room']",False
dog bowl,garage,garage,"['attic', 'oven', 'garage', 'trap', 'freezer']",True
dog chew toy,corridor,room,"['corridor', 'room', 'attic', 'attic', 'basement']",False
dogbed,bedroom,bedroom,"['pantry room', 'bedroom', 'garage', 'storage room', 'exercise room']",True
dollhouse toy,bathroom,family room,"['bathroom', 'family room', 'jar', 'jar', 'freezer']",False
