object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,child's room,"['bar', 'freezer', 'dumpster', 'basement', 'childs room']",False
adjustable wrench,childs room,box,"['house', 'room', 'childs room', 'bar', 'box']",False
alarmclock,bedroom,bedroom,"['bedroom', 'cellar', 'freezer', 'trap', 'television room']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'attic', 'living room', 'basement', 'television room']",True
android figure,exercise room,jar,"['basement', 'oven', 'exercise room', 'jar', 'dumpster']",False
anti slip tape,bedroom,can,"['oven', 'bedroom', 'can', 'oven', 'can']",False
antidepressant,playroom,jar,"['family room', 'playroom', 'jar', 'room', 'bar']",False
apple,kitchen,kitchen,"['oven', 'family room', 'kitchen', 'room', 'oven']",True
armchair,living room,living room,"['living room', 'freezer', 'can', 'freezer', 'lobby']",True
backpack,storage room,storage room,"['oven', 'family room', 'box', 'trap', 'storage room']",True
balancing cactus,dining room,dining room,"['bar', 'freezer', 'dumpster', 'house', 'dining room']",True
banana,pantry room,pantry room,"['bar', 'attic', 'family room', 'pantry room', 'dumpster']",True
baseball,bedroom,box,"['freezer', 'freezer', 'room', 'bedroom', 'box']",False
baseballbat,bedroom,bedroom,"['box', 'bathroom', 'bedroom', 'house', 'jar']",True
basketball,bedroom,bedroom,"['bedroom', 'freezer', 'trap', 'attic', 'jar']",True
bat,attic,attic,"['attic', 'family room', 'box', 'home office', 'freezer']",True
bath sheet,dining room,room,"['cellar', 'dining room', 'jar', 'room', 'dumpster']",False
bathtub,bathroom,bathroom,"['family room', 'exercise room', 'bathroom', 'attic', 'living room']",True
bathtubbasin,bathroom,bathroom,"['room', 'bathroom', 'living room', 'can', 'garage']",True
batter,box,garage,"['dining room', 'dumpster', 'childs room', 'box', 'garage']",False
battery,storage room,storage room,"['house', 'can', 'oven', 'family room', 'storage room']",True
beard color gel,playroom,bar,"['trap', 'trap', 'bar', 'oven', 'playroom']",False
beauty pack,utility room,family room,"['can', 'oven', 'family room', 'jar', 'utility room']",False
bed,bedroom,bedroom,"['bedroom', 'childs room', 'bathroom', 'home office', 'living room']",True
bleach cleanser,kitchen,kitchen,"['oven', 'room', 'family room', 'kitchen', 'attic']",True
blender jar,dining room,bar,"['bar', 'attic', 'jar', 'family room', 'dining room']",False
blind,kitchen,attic,"['trap', 'playroom', 'basement', 'kitchen', 'attic']",False
board game,lobby,lobby,"['lobby', 'trap', 'jar', 'dumpster', 'freezer']",True
book,bedroom,bedroom,"['attic', 'oven', 'bedroom', 'house', 'box']",True
bookend,playroom,family room,"['freezer', 'family room', 'attic', 'bar', 'playroom']",False
boot,bedroom,closet,"['closet', 'corridor', 'bedroom', 'kitchen', 'house']",False
bottle,kitchen,kitchen,"['house', 'closet', 'childs room', 'dumpster', 'kitchen']",True
bowl,kitchen,kitchen,"['house', 'bar', 'box', 'can', 'kitchen']",True
box,living room,living room,"['house', 'oven', 'bar', 'living room', 'trap']",True
bread,kitchen,kitchen,"['corridor', 'kitchen', 'childs room', 'utility room', 'dumpster']",True
bundt pan,corridor,room,"['attic', 'trap', 'corridor', 'jar', 'room']",False
butter dish,dining room,dining room,"['dining room', 'bar', 'trap', 'freezer', 'attic']",True
