object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,dumpster,"['dumpster', 'bar', 'childs room', 'freezer', 'basement']",False
adjustable wrench,childs room,box,"['box', 'house', 'bar', 'childs room', 'room']",False
alarmclock,bedroom,bedroom,"['bedroom', 'freezer', 'trap', 'cellar', 'television room']",True
aluminumfoil,kitchen,kitchen,"['television room', 'living room', 'basement', 'attic', 'kitchen']",True
android figure,exercise room,jar,"['exercise room', 'dumpster', 'basement', 'oven', 'jar']",False
anti slip tape,bedroom,bedroom,"['oven', 'can', 'oven', 'can', 'bedroom']",True
antidepressant,playroom,family room,"['playroom', 'bar', 'jar', 'family room', 'room']",False
apple,kitchen,kitchen,"['oven', 'family room', 'room', 'kitchen', 'oven']",True
armchair,living room,living room,"['lobby', 'freezer', 'living room', 'freezer', 'can']",True
backpack,storage room,storage room,"['storage room', 'box', 'trap', 'oven', 'family room']",True
balancing cactus,dining room,dining room,"['house', 'dining room', 'freezer', 'dumpster', 'bar']",True
banana,pantry room,pantry room,"['bar', 'family room', 'dumpster', 'attic', 'pantry room']",True
baseball,bedroom,box,"['freezer', 'bedroom', 'box', 'freezer', 'room']",False
baseballbat,bedroom,house,"['house', 'bathroom', 'bedroom', 'jar', 'box']",False
basketball,bedroom,bedroom,"['trap', 'attic', 'freezer', 'jar', 'bedroom']",True
bat,attic,family room,"['home office', 'freezer', 'attic', 'box', 'family room']",False
bath sheet,dining room,room,"['jar', 'cellar', 'room', 'dumpster', 'dining room']",False
bathtub,bathroom,bathroom,"['exercise room', 'bathroom', 'attic', 'living room', 'family room']",True
bathtubbasin,bathroom,bathroom,"['can', 'living room', 'bathroom', 'garage', 'room']",True
batter,box,box,"['dumpster', 'childs room', 'dining room', 'box', 'garage']",True
battery,storage room,storage room,"['oven', 'can', 'family room', 'storage room', 'house']",True
beard color gel,playroom,bar,"['trap', 'trap', 'oven', 'bar', 'playroom']",False
beauty pack,utility room,utility room,"['oven', 'jar', 'family room', 'utility room', 'can']",True
bed,bedroom,bedroom,"['childs room', 'bedroom', 'living room', 'home office', 'bathroom']",True
bleach cleanser,kitchen,kitchen,"['room', 'family room', 'attic', 'oven', 'kitchen']",True
blender jar,dining room,bar,"['family room', 'bar', 'attic', 'dining room', 'jar']",False
blind,kitchen,kitchen,"['trap', 'playroom', 'attic', 'kitchen', 'basement']",True
board game,lobby,jar,"['jar', 'lobby', 'freezer', 'trap', 'dumpster']",False
book,bedroom,bedroom,"['house', 'oven', 'box', 'bedroom', 'attic']",True
bookend,playroom,family room,"['family room', 'freezer', 'attic', 'playroom', 'bar']",False
boot,bedroom,closet,"['house', 'bedroom', 'closet', 'kitchen', 'corridor']",False
bottle,kitchen,kitchen,"['kitchen', 'closet', 'house', 'dumpster', 'childs room']",True
bowl,kitchen,kitchen,"['bar', 'house', 'kitchen', 'can', 'box']",True
box,living room,living room,"['trap', 'living room', 'oven', 'bar', 'house']",True
bread,kitchen,kitchen,"['kitchen', 'corridor', 'childs room', 'utility room', 'dumpster']",True
bundt pan,corridor,room,"['trap', 'room', 'jar', 'corridor', 'attic']",False
butter dish,dining room,dining room,"['freezer', 'bar', 'trap', 'dining room', 'attic']",True
butterknife,kitchen,kitchen,"['bathroom', 'kitchen', 'childs room', 'bedroom', 'family room']",True
cabinet,kitchen,pantry room,"['childs room', 'pantry room', 'closet', 'trap', 'kitchen']",False
cake mix,exercise room,room,"['can', 'trap', 'can', 'room', 'exercise room']",False
cake pan,storage room,storage room,"['box', 'jar', 'bar', 'freezer', 'storage room']",True
camera,bedroom,bedroom,"['bar', 'house', 'bedroom', 'bar', 'family room']",True
can opener,garage,cellar,"['trap', 'dumpster', 'cellar', 'dumpster', 'garage']",False
candle,bathroom,bedroom,"['bar', 'bedroom', 'bedroom', 'bathroom', 'childs room']",False
candle holder,bathroom,family room,"['attic', 'bathroom', 'family room', 'can', 'cellar']",False
candy,bedroom,box,"['cellar', 'box', 'oven', 'bedroom', 'box']",False
candy bar,playroom,cellar,"['playroom', 'basement', 'cellar', 'cellar', 'oven']",False
canister,dining room,cellar,"['jar', 'trap', 'cellar', 'dining room', 'dumpster']",False
card game,dining room,dining room,"['dining room', 'basement', 'bar', 'jar', 'dumpster']",True
carrying case,childs room,childs room,"['childs room', 'trap', 'oven', 'freezer', 'box']",True
casserole dish,home office,oven,"['basement', 'trap', 'home office', 'box', 'oven']",False
cd,bedroom,bedroom,"['kitchen', 'box', 'house', 'lobby', 'bedroom']",True
cellphone,living room,living room,"['living room', 'room', 'trap', 'exercise room', 'bathroom']",True
cereal,exercise room,jar,"['basement', 'exercise room', 'jar', 'cellar', 'bar']",False
chain,playroom,cellar,"['bar', 'family room', 'cellar', 'playroom', 'bar']",False
chair,bedroom,dining room,"['bedroom', 'cellar', 'exercise room', 'dining room', 'home office']",False
chocolate,exercise room,freezer,"['family room', 'can', 'trap', 'exercise room', 'freezer']",False
chocolate box,exercise room,jar,"['attic', 'trap', 'jar', 'exercise room', 'cellar']",False
chocolate milk pods,television room,freezer,"['freezer', 'attic', 'television room', 'room', 'freezer']",False
chocolate powder,television room,house,"['freezer', 'dumpster', 'television room', 'house', 'bar']",False
chopping board,dining room,dining room,"['dining room', 'room', 'basement', 'freezer', 'can']",True
clamp,childs room,attic,"['jar', 'attic', 'attic', 'trap', 'childs room']",False
clay,bathroom,family room,"['bar', 'family room', 'freezer', 'freezer', 'bathroom']",False
clock,home office,home office,"['dumpster', 'house', 'trap', 'room', 'home office']",True
cloth,bathroom,box,"['freezer', 'dumpster', 'box', 'family room', 'bathroom']",False
coffee beans,closet,box,"['box', 'closet', 'oven', 'attic', 'trap']",False
coffee pods,playroom,jar,"['cellar', 'playroom', 'basement', 'jar', 'freezer']",False
coffeemachine,kitchen,kitchen,"['childs room', 'jar', 'lobby', 'pantry room', 'kitchen']",True
coffeemaker,bathroom,bar,"['room', 'bathroom', 'freezer', 'freezer', 'bar']",False
coffeetable,living room,living room,"['corridor', 'living room', 'house', 'kitchen', 'utility room']",True
colored wood blocks,bathroom,family room,"['attic', 'family room', 'bathroom', 'box', 'cellar']",False
condiment,home office,family room,"['dumpster', 'family room', 'home office', 'trap', 'room']",False
countertop,bedroom,oven,"['bedroom', 'corridor', 'oven', 'utility room', 'oven']",False
cracker box,bathroom,room,"['trap', 'attic', 'room', 'can', 'bathroom']",False
crayon,exercise room,room,"['freezer', 'room', 'house', 'exercise room', 'trap']",False
creditcard,bedroom,bedroom,"['lobby', 'bathroom', 'pantry room', 'bedroom', 'house']",True
cube storage box,lobby,basement,"['cellar', 'bar', 'lobby', 'basement', 'freezer']",False
cup,kitchen,kitchen,"['trap', 'trap', 'can', 'family room', 'kitchen']",True
curtain,bedroom,bedroom,"['bar', 'pantry room', 'bedroom', 'house', 'dining room']",True
