question,full_answer,final_answer,correct_answer
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: action figure
Locations: bar, childs room, basement, dumpster, freezer
Your Choice:",childs room,childs room,childs room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: adjustable wrench
Locations: bar, box, house, childs room, room
Your Choice:",box,box,childs room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: alarmclock
Locations: cellar, television room, trap, freezer, bedroom
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: aluminumfoil
Locations: kitchen, attic, living room, basement, television room
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: android figure
Locations: dumpster, exercise room, jar, oven, basement
Your Choice:",jar,jar,exercise room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: anti slip tape
Locations: bedroom, oven, can, can, oven
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: antidepressant
Locations: bar, room, family room, playroom, jar
Your Choice:",room,room,playroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: apple
Locations: family room, kitchen, oven, room, oven
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: armchair
Locations: freezer, lobby, living room, can, freezer
Your Choice:",living room,living room,living room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: backpack
Locations: storage room, family room, trap, oven, box
Your Choice:",storage room,storage room,storage room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: balancing cactus
Locations: house, dining room, freezer, dumpster, bar
Your Choice:",dining room,dining room,dining room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: banana
Locations: dumpster, pantry room, bar, attic, family room
Your Choice:",pantry room,pantry room,pantry room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: baseball
Locations: freezer, room, bedroom, freezer, box
Your Choice:",room,room,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: baseballbat
Locations: jar, bedroom, house, bathroom, box
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: basketball
Locations: bedroom, jar, attic, freezer, trap
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bat
Locations: family room, box, home office, attic, freezer
Your Choice:",family room,family room,attic
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bath sheet
Locations: dumpster, jar, cellar, dining room, room
Your Choice:",cellar,cellar,dining room
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bathtub
Locations: attic, living room, family room, bathroom, exercise room
Your Choice:",bathroom,bathroom,bathroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: bathtubbasin
Locations: living room, bathroom, can, garage, room
Your Choice:",bathroom,bathroom,bathroom
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: batter
Locations: dumpster, box, garage, childs room, dining room
Your Choice:",garage,garage,box
"Here are a few examples:
Object: canned goods
Location: pantry room
Object: bedside lamp
Location: bedroom
Object: bed
Location: bedroom
Object: cutting board
Location: kitchen
Object: shoe rack
Location: corridor
Object: yoga mat
Location: exercise room
Object: canned beans
Location: pantry room
Object: trunk
Location: attic

Object: battery
Locations: oven, can, house, family room, storage room
Your Choice:",storage room,storage room,storage room
