question,full_answer,final_answer,correct_answer
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: action figure
Locations: bar, childs room, dumpster, freezer, basement
Your Choice:",childs room,childs room,childs room
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: adjustable wrench
Locations: bar, room, childs room, box, house
Your Choice:",box,box,childs room
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: alarmclock
Locations: freezer, television room, cellar, trap, bedroom
Your Choice:",bedroom,bedroom,bedroom
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: aluminumfoil
Locations: basement, television room, kitchen, living room, attic
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: android figure
Locations: jar, exercise room, oven, basement, dumpster
Your Choice:",basement,basement,exercise room
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: anti slip tape
Locations: can, oven, oven, can, bedroom
Your Choice:",can,can,bedroom
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: antidepressant
Locations: bar, playroom, family room, jar, room
Your Choice:",room,room,playroom
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: apple
Locations: oven, kitchen, oven, family room, room
Your Choice:",kitchen,kitchen,kitchen
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: armchair
Locations: living room, freezer, freezer, lobby, can
Your Choice:",living room,living room,living room
"Here are a few examples:
Object: Teddy bear
Location: childs room
Object: Teddy bear
Location: childs room
Object: nightstand
Location: bedroom
Object: Toaster
Location: kitchen
Object: Treadmill
Location: exercise room
Object: Alarm clock
Location: bedroom
Object: Toys
Location: playroom
Object: Toaster
Location: kitchen

Object: backpack
Locations: storage room, box, oven, family room, trap
Your Choice:",storage room,storage room,storage room
