object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['childs room', 'freezer', 'dumpster', 'bar', 'basement']",True
adjustable wrench,childs room,box,"['childs room', 'room', 'bar', 'box', 'house']",False
alarmclock,bedroom,bedroom,"['television room', 'cellar', 'trap', 'freezer', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['living room', 'basement', 'kitchen', 'television room', 'attic']",True
android figure,exercise room,basement,"['jar', 'exercise room', 'dumpster', 'basement', 'oven']",False
anti slip tape,bedroom,bedroom,"['oven', 'can', 'can', 'bedroom', 'oven']",True
antidepressant,playroom,jar,"['family room', 'jar', 'room', 'bar', 'playroom']",False
apple,kitchen,kitchen,"['room', 'oven', 'family room', 'kitchen', 'oven']",True
armchair,living room,living room,"['freezer', 'can', 'lobby', 'living room', 'freezer']",True
backpack,storage room,storage room,"['trap', 'storage room', 'box', 'family room', 'oven']",True
balancing cactus,dining room,dining room,"['dining room', 'bar', 'freezer', 'house', 'dumpster']",True
banana,pantry room,pantry room,"['dumpster', 'family room', 'pantry room', 'attic', 'bar']",True
baseball,bedroom,box,"['freezer', 'bedroom', 'room', 'box', 'freezer']",False
baseballbat,bedroom,bedroom,"['box', 'bathroom', 'jar', 'house', 'bedroom']",True
basketball,bedroom,attic,"['bedroom', 'jar', 'attic', 'freezer', 'trap']",False
bat,attic,attic,"['home office', 'freezer', 'box', 'family room', 'attic']",True
bath sheet,dining room,cellar,"['dining room', 'dumpster', 'jar', 'cellar', 'room']",False
bathtub,bathroom,bathroom,"['exercise room', 'bathroom', 'family room', 'living room', 'attic']",True
bathtubbasin,bathroom,bathroom,"['can', 'living room', 'bathroom', 'room', 'garage']",True
batter,box,box,"['garage', 'childs room', 'dumpster', 'box', 'dining room']",True
battery,storage room,storage room,"['house', 'family room', 'can', 'oven', 'storage room']",True
beard color gel,playroom,bar,"['bar', 'playroom', 'trap', 'oven', 'trap']",False
beauty pack,utility room,utility room,"['jar', 'can', 'utility room', 'oven', 'family room']",True
bed,bedroom,bedroom,"['home office', 'bedroom', 'bathroom', 'living room', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['room', 'kitchen', 'attic', 'family room', 'oven']",True
blender jar,dining room,bar,"['attic', 'family room', 'bar', 'dining room', 'jar']",False
blind,kitchen,attic,"['kitchen', 'attic', 'playroom', 'trap', 'basement']",False
board game,lobby,lobby,"['dumpster', 'freezer', 'trap', 'jar', 'lobby']",True
book,bedroom,bedroom,"['attic', 'oven', 'house', 'bedroom', 'box']",True
bookend,playroom,family room,"['freezer', 'attic', 'playroom', 'bar', 'family room']",False
boot,bedroom,closet,"['house', 'corridor', 'kitchen', 'closet', 'bedroom']",False
bottle,kitchen,kitchen,"['closet', 'dumpster', 'childs room', 'kitchen', 'house']",True
bowl,kitchen,kitchen,"['house', 'can', 'kitchen', 'bar', 'box']",True
box,living room,living room,"['living room', 'bar', 'house', 'oven', 'trap']",True
bread,kitchen,kitchen,"['utility room', 'corridor', 'kitchen', 'childs room', 'dumpster']",True
bundt pan,corridor,attic,"['room', 'corridor', 'trap', 'jar', 'attic']",False
