object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['bar', 'basement', 'freezer', 'childs room', 'dumpster']",True
adjustable wrench,childs room,box,"['room', 'childs room', 'house', 'box', 'bar']",False
alarmclock,bedroom,bedroom,"['cellar', 'freezer', 'television room', 'bedroom', 'trap']",True
aluminumfoil,kitchen,kitchen,"['living room', 'attic', 'basement', 'kitchen', 'television room']",True
android figure,exercise room,basement,"['dumpster', 'oven', 'basement', 'jar', 'exercise room']",False
anti slip tape,bedroom,"none of the provided locations seem suitable for anti-slip tape. however, if i must choose from the given list, i would say ""none"" is not an option, so i'll choose the least dangerous one: bedroom.","['oven', 'can', 'can', 'oven', 'bedroom']",False
antidepressant,playroom,room,"['family room', 'playroom', 'bar', 'jar', 'room']",False
apple,kitchen,kitchen,"['family room', 'room', 'oven', 'oven', 'kitchen']",True
armchair,living room,living room,"['freezer', 'living room', 'freezer', 'lobby', 'can']",True
backpack,storage room,storage room,"['storage room', 'trap', 'oven', 'family room', 'box']",True
balancing cactus,dining room,house,"['freezer', 'dumpster', 'bar', 'house', 'dining room']",False
banana,pantry room,pantry room,"['family room', 'attic', 'dumpster', 'bar', 'pantry room']",True
baseball,bedroom,box,"['room', 'freezer', 'box', 'bedroom', 'freezer']",False
baseballbat,bedroom,box,"['box', 'jar', 'bathroom', 'house', 'bedroom']",False
basketball,bedroom,attic,"['jar', 'trap', 'attic', 'freezer', 'bedroom']",False
bat,attic,attic,"['family room', 'freezer', 'box', 'home office', 'attic']",True
bath sheet,dining room,cellar,"['dining room', 'dumpster', 'cellar', 'jar', 'room']",False
bathtub,bathroom,bathroom,"['family room', 'attic', 'exercise room', 'living room', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['garage', 'living room', 'bathroom', 'can', 'room']",True
batter,box,box,"['dining room', 'garage', 'box', 'childs room', 'dumpster']",True
battery,storage room,storage room,"['family room', 'house', 'can', 'storage room', 'oven']",True
beard color gel,playroom,bar,"['oven', 'playroom', 'bar', 'trap', 'trap']",False
beauty pack,utility room,jar,"['utility room', 'can', 'family room', 'oven', 'jar']",False
bed,bedroom,bedroom,"['bedroom', 'bathroom', 'home office', 'living room', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['family room', 'attic', 'kitchen', 'room', 'oven']",True
blender jar,dining room,bar,"['jar', 'dining room', 'family room', 'bar', 'attic']",False
blind,kitchen,attic,"['trap', 'attic', 'kitchen', 'playroom', 'basement']",False
board game,lobby,lobby,"['trap', 'dumpster', 'jar', 'freezer', 'lobby']",True
book,bedroom,bedroom,"['bedroom', 'attic', 'house', 'oven', 'box']",True
bookend,playroom,family room,"['attic', 'family room', 'bar', 'playroom', 'freezer']",False
boot,bedroom,closet,"['bedroom', 'corridor', 'closet', 'kitchen', 'house']",False
bottle,kitchen,kitchen,"['dumpster', 'childs room', 'closet', 'house', 'kitchen']",True
bowl,kitchen,kitchen,"['bar', 'house', 'kitchen', 'box', 'can']",True
box,living room,living room,"['house', 'oven', 'bar', 'living room', 'trap']",True
bread,kitchen,kitchen,"['dumpster', 'kitchen', 'corridor', 'childs room', 'utility room']",True
bundt pan,corridor,room,"['trap', 'corridor', 'jar', 'room', 'attic']",False
butter dish,dining room,dining room,"['dining room', 'attic', 'freezer', 'trap', 'bar']",True
butterknife,kitchen,kitchen,"['kitchen', 'family room', 'bedroom', 'bathroom', 'childs room']",True
cabinet,kitchen,closet,"['trap', 'closet', 'childs room', 'kitchen', 'pantry room']",False
cake mix,exercise room,can,"['exercise room', 'can', 'room', 'can', 'trap']",False
cake pan,storage room,storage room,"['storage room', 'freezer', 'jar', 'bar', 'box']",True
camera,bedroom,bedroom,"['bar', 'bedroom', 'bar', 'house', 'family room']",True
can opener,garage,garage,"['dumpster', 'trap', 'dumpster', 'garage', 'cellar']",True
candle,bathroom,bedroom,"['bar', 'childs room', 'bedroom', 'bathroom', 'bedroom']",False
candle holder,bathroom,family room,"['family room', 'attic', 'bathroom', 'can', 'cellar']",False
candy,bedroom,box,"['box', 'bedroom', 'box', 'cellar', 'oven']",False
candy bar,playroom,playroom,"['basement', 'cellar', 'oven', 'playroom', 'cellar']",True
canister,dining room,cellar,"['dining room', 'jar', 'dumpster', 'cellar', 'trap']",False
card game,dining room,dining room,"['dumpster', 'jar', 'basement', 'dining room', 'bar']",True
carrying case,childs room,box,"['childs room', 'box', 'freezer', 'trap', 'oven']",False
casserole dish,home office,basement,"['oven', 'box', 'trap', 'home office', 'basement']",False
cd,bedroom,bedroom,"['box', 'bedroom', 'lobby', 'kitchen', 'house']",True
cellphone,living room,living room,"['room', 'trap', 'bathroom', 'exercise room', 'living room']",True
cereal,exercise room,jar,"['cellar', 'exercise room', 'bar', 'jar', 'basement']",False
chain,playroom,cellar,"['cellar', 'family room', 'bar', 'bar', 'playroom']",False
chair,bedroom,dining room,"['cellar', 'bedroom', 'home office', 'dining room', 'exercise room']",False
chocolate,exercise room,freezer,"['family room', 'exercise room', 'trap', 'freezer', 'can']",False
chocolate box,exercise room,cellar,"['trap', 'exercise room', 'jar', 'attic', 'cellar']",False
