object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['basement', 'bar', 'childs room', 'dumpster', 'freezer']",True
adjustable wrench,childs room,box,"['house', 'childs room', 'bar', 'box', 'room']",False
alarmclock,bedroom,bedroom,"['cellar', 'bedroom', 'television room', 'freezer', 'trap']",True
aluminumfoil,kitchen,kitchen,"['attic', 'living room', 'basement', 'kitchen', 'television room']",True
android figure,exercise room,exercise room,"['dumpster', 'jar', 'oven', 'exercise room', 'basement']",True
anti slip tape,bedroom,can,"['oven', 'bedroom', 'can', 'oven', 'can']",False
antidepressant,playroom,room,"['playroom', 'family room', 'jar', 'bar', 'room']",False
apple,kitchen,kitchen,"['kitchen', 'oven', 'oven', 'family room', 'room']",True
armchair,living room,living room,"['living room', 'freezer', 'can', 'freezer', 'lobby']",True
backpack,storage room,storage room,"['family room', 'trap', 'storage room', 'box', 'oven']",True
balancing cactus,dining room,house,"['dumpster', 'house', 'freezer', 'dining room', 'bar']",False
banana,pantry room,pantry room,"['family room', 'pantry room', 'dumpster', 'bar', 'attic']",True
baseball,bedroom,box,"['box', 'freezer', 'room', 'bedroom', 'freezer']",False
baseballbat,bedroom,box,"['bedroom', 'jar', 'box', 'house', 'bathroom']",False
basketball,bedroom,attic,"['bedroom', 'jar', 'attic', 'trap', 'freezer']",False
bat,attic,attic,"['family room', 'attic', 'box', 'home office', 'freezer']",True
bath sheet,dining room,room,"['dining room', 'jar', 'cellar', 'room', 'dumpster']",False
bathtub,bathroom,bathroom,"['family room', 'attic', 'bathroom', 'exercise room', 'living room']",True
bathtubbasin,bathroom,bathroom,"['can', 'living room', 'bathroom', 'garage', 'room']",True
batter,box,garage,"['box', 'dining room', 'dumpster', 'childs room', 'garage']",False
battery,storage room,storage room,"['storage room', 'house', 'family room', 'oven', 'can']",True
beard color gel,playroom,bar,"['trap', 'playroom', 'bar', 'oven', 'trap']",False
beauty pack,utility room,utility room,"['oven', 'can', 'utility room', 'jar', 'family room']",True
bed,bedroom,bedroom,"['bathroom', 'living room', 'home office', 'childs room', 'bedroom']",True
bleach cleanser,kitchen,kitchen,"['family room', 'oven', 'room', 'attic', 'kitchen']",True
blender jar,dining room,bar,"['dining room', 'jar', 'family room', 'bar', 'attic']",False
blind,kitchen,attic,"['kitchen', 'playroom', 'attic', 'trap', 'basement']",False
board game,lobby,lobby,"['dumpster', 'trap', 'lobby', 'jar', 'freezer']",True
book,bedroom,bedroom,"['bedroom', 'oven', 'house', 'attic', 'box']",True
bookend,playroom,family room,"['family room', 'freezer', 'bar', 'attic', 'playroom']",False
