object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['freezer', 'childs room', 'bar', 'dumpster', 'basement']",False
adjustable wrench,childs room,box,"['bar', 'room', 'house', 'childs room', 'box']",False
alarmclock,bedroom,bedroom,"['bedroom', 'trap', 'freezer', 'cellar', 'television room']",True
aluminumfoil,kitchen,kitchen,"['television room', 'attic', 'kitchen', 'basement', 'living room']",True
android figure,exercise room,basement,"['dumpster', 'jar', 'oven', 'basement', 'exercise room']",False
anti slip tape,bedroom,bedroom,"['bedroom', 'can', 'can', 'oven', 'oven']",True
antidepressant,playroom,room,"['bar', 'room', 'jar', 'family room', 'playroom']",False
apple,kitchen,kitchen,"['family room', 'kitchen', 'room', 'oven', 'oven']",True
armchair,living room,living room,"['freezer', 'freezer', 'living room', 'lobby', 'can']",True
backpack,storage room,storage room,"['storage room', 'oven', 'family room', 'box', 'trap']",True
balancing cactus,dining room,house,"['house', 'bar', 'freezer', 'dumpster', 'dining room']",False
banana,pantry room,pantry room,"['attic', 'family room', 'bar', 'pantry room', 'dumpster']",True
baseball,bedroom,box,"['room', 'box', 'freezer', 'bedroom', 'freezer']",False
baseballbat,bedroom,box,"['house', 'box', 'jar', 'bedroom', 'bathroom']",False
basketball,bedroom,attic,"['attic', 'jar', 'trap', 'bedroom', 'freezer']",False
bat,attic,attic,"['home office', 'box', 'freezer', 'family room', 'attic']",True
bath sheet,dining room,room,"['dining room', 'dumpster', 'room', 'cellar', 'jar']",False
bathtub,bathroom,bathroom,"['exercise room', 'family room', 'bathroom', 'attic', 'living room']",True
bathtubbasin,bathroom,bathroom,"['room', 'garage', 'can', 'bathroom', 'living room']",True
batter,box,garage,"['childs room', 'garage', 'dining room', 'dumpster', 'box']",False
battery,storage room,storage room,"['oven', 'family room', 'storage room', 'can', 'house']",True
beard color gel,playroom,bar,"['trap', 'trap', 'playroom', 'oven', 'bar']",False
beauty pack,utility room,family room,"['utility room', 'jar', 'oven', 'can', 'family room']",False
bed,bedroom,bedroom,"['living room', 'childs room', 'bedroom', 'home office', 'bathroom']",True
bleach cleanser,kitchen,kitchen,"['attic', 'oven', 'room', 'kitchen', 'family room']",True
blender jar,dining room,bar,"['jar', 'bar', 'dining room', 'family room', 'attic']",False
blind,kitchen,playroom,"['attic', 'trap', 'kitchen', 'playroom', 'basement']",False
board game,lobby,lobby,"['trap', 'lobby', 'freezer', 'dumpster', 'jar']",True
book,bedroom,bedroom,"['box', 'house', 'oven', 'attic', 'bedroom']",True
bookend,playroom,family room,"['playroom', 'family room', 'bar', 'freezer', 'attic']",False
boot,bedroom,closet,"['kitchen', 'closet', 'corridor', 'bedroom', 'house']",False
