object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['freezer', 'bar', 'dumpster', 'childs room', 'basement']",False
adjustable wrench,childs room,box,"['box', 'bar', 'childs room', 'room', 'house']",False
alarmclock,bedroom,bedroom,"['cellar', 'trap', 'bedroom', 'freezer', 'television room']",True
aluminumfoil,kitchen,kitchen,"['living room', 'basement', 'kitchen', 'television room', 'attic']",True
android figure,exercise room,exercise room,"['basement', 'exercise room', 'oven', 'dumpster', 'jar']",True
anti slip tape,bedroom,oven,"['can', 'oven', 'bedroom', 'can', 'oven']",False
antidepressant,playroom,jar,"['playroom', 'room', 'family room', 'jar', 'bar']",False
apple,kitchen,kitchen,"['kitchen', 'oven', 'oven', 'family room', 'room']",True
armchair,living room,living room,"['freezer', 'living room', 'freezer', 'can', 'lobby']",True
backpack,storage room,storage room,"['box', 'family room', 'oven', 'storage room', 'trap']",True
balancing cactus,dining room,house,"['house', 'dumpster', 'dining room', 'bar', 'freezer']",False
banana,pantry room,pantry room,"['attic', 'dumpster', 'family room', 'bar', 'pantry room']",True
baseball,bedroom,box,"['freezer', 'box', 'bedroom', 'freezer', 'room']",False
baseballbat,bedroom,house,"['box', 'bedroom', 'bathroom', 'house', 'jar']",False
basketball,bedroom,attic,"['trap', 'freezer', 'bedroom', 'jar', 'attic']",False
bat,attic,attic,"['attic', 'home office', 'family room', 'box', 'freezer']",True
bath sheet,dining room,room,"['jar', 'dining room', 'dumpster', 'cellar', 'room']",False
bathtub,bathroom,bathroom,"['family room', 'attic', 'bathroom', 'exercise room', 'living room']",True
bathtubbasin,bathroom,bathroom,"['room', 'living room', 'garage', 'bathroom', 'can']",True
batter,box,dining room,"['dumpster', 'box', 'dining room', 'childs room', 'garage']",False
battery,storage room,storage room,"['storage room', 'oven', 'family room', 'house', 'can']",True
beard color gel,playroom,bar,"['trap', 'playroom', 'oven', 'bar', 'trap']",False
beauty pack,utility room,jar,"['can', 'oven', 'family room', 'utility room', 'jar']",False
bed,bedroom,bedroom,"['home office', 'bedroom', 'living room', 'bathroom', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['oven', 'room', 'attic', 'kitchen', 'family room']",True
blender jar,dining room,bar,"['jar', 'bar', 'attic', 'family room', 'dining room']",False
blind,kitchen,basement,"['trap', 'kitchen', 'attic', 'basement', 'playroom']",False
board game,lobby,lobby,"['trap', 'dumpster', 'freezer', 'jar', 'lobby']",True
book,bedroom,bedroom,"['house', 'bedroom', 'oven', 'attic', 'box']",True
bookend,playroom,family room,"['attic', 'freezer', 'family room', 'playroom', 'bar']",False
boot,bedroom,closet,"['corridor', 'kitchen', 'house', 'bedroom', 'closet']",False
bottle,kitchen,kitchen,"['kitchen', 'house', 'closet', 'dumpster', 'childs room']",True
bowl,kitchen,kitchen,"['bar', 'can', 'house', 'box', 'kitchen']",True
box,living room,living room,"['bar', 'oven', 'living room', 'house', 'trap']",True
bread,kitchen,kitchen,"['corridor', 'childs room', 'kitchen', 'utility room', 'dumpster']",True
bundt pan,corridor,room,"['room', 'jar', 'corridor', 'trap', 'attic']",False
butter dish,dining room,dining room,"['freezer', 'attic', 'trap', 'dining room', 'bar']",True
butterknife,kitchen,kitchen,"['bathroom', 'kitchen', 'bedroom', 'family room', 'childs room']",True
cabinet,kitchen,pantry room,"['pantry room', 'closet', 'kitchen', 'childs room', 'trap']",False
cake mix,exercise room,can,"['can', 'room', 'exercise room', 'trap', 'can']",False
cake pan,storage room,storage room,"['freezer', 'box', 'jar', 'bar', 'storage room']",True
camera,bedroom,bar,"['bar', 'family room', 'bar', 'bedroom', 'house']",False
can opener,garage,garage,"['cellar', 'dumpster', 'trap', 'dumpster', 'garage']",True
candle,bathroom,bar,"['bar', 'bedroom', 'bathroom', 'bedroom', 'childs room']",False
candle holder,bathroom,family room,"['can', 'family room', 'cellar', 'bathroom', 'attic']",False
candy,bedroom,box,"['cellar', 'box', 'bedroom', 'box', 'oven']",False
candy bar,playroom,cellar,"['cellar', 'oven', 'basement', 'cellar', 'playroom']",False
canister,dining room,cellar,"['cellar', 'dining room', 'dumpster', 'jar', 'trap']",False
card game,dining room,dining room,"['basement', 'dumpster', 'dining room', 'jar', 'bar']",True
carrying case,childs room,box,"['childs room', 'box', 'oven', 'freezer', 'trap']",False
casserole dish,home office,oven,"['home office', 'box', 'oven', 'trap', 'basement']",False
cd,bedroom,box,"['bedroom', 'box', 'house', 'kitchen', 'lobby']",False
cellphone,living room,room,"['exercise room', 'room', 'living room', 'trap', 'bathroom']",False
cereal,exercise room,cellar,"['basement', 'jar', 'bar', 'exercise room', 'cellar']",False
chain,playroom,cellar,"['bar', 'bar', 'cellar', 'playroom', 'family room']",False
chair,bedroom,home office,"['dining room', 'exercise room', 'bedroom', 'cellar', 'home office']",False
chocolate,exercise room,freezer,"['trap', 'family room', 'freezer', 'can', 'exercise room']",False
chocolate box,exercise room,jar,"['trap', 'cellar', 'attic', 'jar', 'exercise room']",False
chocolate milk pods,television room,freezer,"['room', 'freezer', 'freezer', 'attic', 'television room']",False
chocolate powder,television room,house,"['house', 'television room', 'freezer', 'dumpster', 'bar']",False
chopping board,dining room,room,"['freezer', 'can', 'room', 'dining room', 'basement']",False
clamp,childs room,attic,"['childs room', 'jar', 'attic', 'attic', 'trap']",False
clay,bathroom,freezer,"['freezer', 'bathroom', 'family room', 'bar', 'freezer']",False
clock,home office,home office,"['dumpster', 'room', 'house', 'home office', 'trap']",True
cloth,bathroom,box,"['dumpster', 'bathroom', 'family room', 'freezer', 'box']",False
coffee beans,closet,box,"['box', 'attic', 'oven', 'trap', 'closet']",False
coffee pods,playroom,freezer,"['cellar', 'freezer', 'basement', 'jar', 'playroom']",False
