object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['bar', 'childs room', 'dumpster', 'freezer', 'basement']",True
adjustable wrench,childs room,box,"['bar', 'room', 'childs room', 'box', 'house']",False
alarmclock,bedroom,bedroom,"['freezer', 'television room', 'cellar', 'trap', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['basement', 'television room', 'kitchen', 'living room', 'attic']",True
android figure,exercise room,basement,"['jar', 'exercise room', 'oven', 'basement', 'dumpster']",False
anti slip tape,bedroom,can,"['can', 'oven', 'oven', 'can', 'bedroom']",False
antidepressant,playroom,room,"['bar', 'playroom', 'family room', 'jar', 'room']",False
apple,kitchen,kitchen,"['oven', 'kitchen', 'oven', 'family room', 'room']",True
armchair,living room,living room,"['living room', 'freezer', 'freezer', 'lobby', 'can']",True
backpack,storage room,storage room,"['storage room', 'box', 'oven', 'family room', 'trap']",True
balancing cactus,dining room,bar,"['house', 'freezer', 'dumpster', 'dining room', 'bar']",False
banana,pantry room,pantry room,"['pantry room', 'bar', 'family room', 'dumpster', 'attic']",True
baseball,bedroom,room,"['room', 'freezer', 'freezer', 'bedroom', 'box']",False
baseballbat,bedroom,house,"['house', 'box', 'bedroom', 'bathroom', 'jar']",False
basketball,bedroom,attic,"['freezer', 'attic', 'trap', 'bedroom', 'jar']",False
bat,attic,attic,"['freezer', 'attic', 'box', 'family room', 'home office']",True
bath sheet,dining room,cellar,"['room', 'jar', 'dumpster', 'dining room', 'cellar']",False
bathtub,bathroom,bathroom,"['exercise room', 'living room', 'family room', 'bathroom', 'attic']",True
bathtubbasin,bathroom,bathroom,"['garage', 'living room', 'bathroom', 'room', 'can']",True
batter,box,none,"['garage', 'box', 'dumpster', 'dining room', 'childs room']",False
battery,storage room,storage room,"['house', 'can', 'oven', 'storage room', 'family room']",True
beard color gel,playroom,bar,"['trap', 'trap', 'bar', 'oven', 'playroom']",False
beauty pack,utility room,utility room,"['can', 'jar', 'family room', 'utility room', 'oven']",True
bed,bedroom,bedroom,"['childs room', 'living room', 'home office', 'bathroom', 'bedroom']",True
bleach cleanser,kitchen,kitchen,"['oven', 'attic', 'family room', 'room', 'kitchen']",True
blender jar,dining room,bar,"['bar', 'dining room', 'attic', 'jar', 'family room']",False
blind,kitchen,attic,"['playroom', 'trap', 'basement', 'attic', 'kitchen']",False
board game,lobby,lobby,"['jar', 'trap', 'freezer', 'dumpster', 'lobby']",True
book,bedroom,bedroom,"['attic', 'house', 'bedroom', 'box', 'oven']",True
bookend,playroom,family room,"['bar', 'playroom', 'attic', 'freezer', 'family room']",False
boot,bedroom,closet,"['house', 'bedroom', 'corridor', 'kitchen', 'closet']",False
bottle,kitchen,kitchen,"['childs room', 'closet', 'house', 'kitchen', 'dumpster']",True
bowl,kitchen,kitchen,"['kitchen', 'box', 'house', 'bar', 'can']",True
box,living room,living room,"['trap', 'living room', 'house', 'oven', 'bar']",True
bread,kitchen,kitchen,"['utility room', 'kitchen', 'dumpster', 'childs room', 'corridor']",True
bundt pan,corridor,room,"['trap', 'jar', 'corridor', 'attic', 'room']",False
butter dish,dining room,dining room,"['dining room', 'bar', 'freezer', 'attic', 'trap']",True
butterknife,kitchen,kitchen,"['bathroom', 'kitchen', 'childs room', 'family room', 'bedroom']",True
cabinet,kitchen,kitchen,"['closet', 'pantry room', 'kitchen', 'trap', 'childs room']",True
cake mix,exercise room,none,"['can', 'room', 'can', 'trap', 'exercise room']",False
cake pan,storage room,storage room,"['jar', 'bar', 'storage room', 'freezer', 'box']",True
camera,bedroom,family room,"['bar', 'family room', 'bedroom', 'bar', 'house']",False
can opener,garage,none,"['cellar', 'trap', 'dumpster', 'garage', 'dumpster']",False
candle,bathroom,bedroom,"['bar', 'bathroom', 'bedroom', 'bedroom', 'childs room']",False
candle holder,bathroom,family room,"['can', 'bathroom', 'cellar', 'attic', 'family room']",False
candy,bedroom,box,"['box', 'oven', 'cellar', 'bedroom', 'box']",False
candy bar,playroom,playroom,"['oven', 'playroom', 'cellar', 'cellar', 'basement']",True
canister,dining room,cellar,"['dumpster', 'dining room', 'cellar', 'trap', 'jar']",False
card game,dining room,dining room,"['basement', 'dining room', 'jar', 'dumpster', 'bar']",True
carrying case,childs room,childs room,"['childs room', 'box', 'freezer', 'oven', 'trap']",True
casserole dish,home office,oven,"['basement', 'trap', 'oven', 'home office', 'box']",False
cd,bedroom,bedroom,"['bedroom', 'lobby', 'box', 'house', 'kitchen']",True
cellphone,living room,room,"['room', 'living room', 'exercise room', 'trap', 'bathroom']",False
cereal,exercise room,none,"['jar', 'basement', 'cellar', 'exercise room', 'bar']",False
chain,playroom,cellar,"['bar', 'family room', 'playroom', 'bar', 'cellar']",False
chair,bedroom,dining room,"['dining room', 'home office', 'bedroom', 'exercise room', 'cellar']",False
chocolate,exercise room,freezer,"['freezer', 'exercise room', 'can', 'trap', 'family room']",False
chocolate box,exercise room,cellar,"['trap', 'exercise room', 'jar', 'attic', 'cellar']",False
