object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"[""child's bedroom"", 'living room', 'toy box', 'bookshelf', 'under the sofa']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
adjustable wrench,"['garage', 'toolbox', 'shed', 'workshop', 'basement']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
alarmclock,"['nightstand', 'dresser', 'bedside table', 'desk', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
aluminumfoil,"['kitchen drawer', 'pantry', 'under the sink', 'cabinet near the stove']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
android figure,"[""child's bedroom"", 'living room shelf', ""collector's display case"", 'office desk']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
anti slip tape,"['bathroom', 'kitchen', 'stairs']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
antidepressant,"['nightstand', 'medicine cabinet', 'bathroom drawer', 'purse/backpack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'fruit bowl', 'refrigerator', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'den']",1.0,1.0,1.0,1.0,0.5,1.0,1.0
backpack,"['entryway', 'bedroom', 'living room', 'closet', 'under a desk/table']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
balancing cactus,"['living room shelf', 'bedroom nightstand', 'office desk', 'kitchen windowsill']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,"['kitchen counter', 'fruit bowl', 'dining table', 'pantry', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"[""child's bedroom"", 'garage', 'living room', 'basement']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
baseballbat,"['garage', 'basement', 'closet', 'shed', 'attic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'bedroom', 'living room', 'basement']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['closet', 'garage', 'attic', 'basement', 'bedroom', 'living room']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bath sheet,"['bathroom', 'linen closet']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
bathtub,"['bathroom', 'ensuite bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bathtubbasin,"['bathroom', 'ensuite bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
batter,"['refrigerator', 'pantry', 'cupboard', 'countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,"['junk drawer', 'toy box', 'remote control holder', 'garage', 'tool box', 'electronics cabinet', 'under furniture (couch', 'bed)', 'bathroom (for electric toothbrush)']",0.25,0.0,0.0,0.25,0.0,0.0,0.058823529411764705
beard color gel,"['bathroom counter', 'bathroom cabinet', 'medicine cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty pack,"['bathroom counter', 'bathroom drawer', 'bedroom dresser', 'bedroom nightstand', 'travel bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bed,"['bedroom', 'guest room', 'sofa bed']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bleach cleanser,"['under the kitchen sink', 'laundry room', 'bathroom cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender jar,"['kitchen counter', 'kitchen cabinet', 'dishwasher', 'sink']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blind,"['window', 'living room', 'bedroom', 'office']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.6666666666666666,0.6666666666666666
board game,"['living room', 'family room', 'game room', 'closet', 'shelf']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
book,"['bookshelf', 'coffee table', 'nightstand', 'desk', 'floor', 'armchair', 'bed']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bookend,"['bookshelf', 'nightstand', 'desk', 'coffee table', 'mantelpiece']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,"['entryway', 'closet', 'bedroom', 'mudroom', 'garage']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bottle,"['kitchen counter', 'recycling bin', 'refrigerator', 'dining table', 'bathroom counter', 'bedroom nightstand', 'living room coffee table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowl,"['kitchen cupboard', 'kitchen counter', 'dining table', 'living room coffee table', 'sink', 'dishwasher']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,"['living room', 'bedroom', 'attic', 'basement', 'garage', 'kitchen', 'office/study']",1.0,1.0,1.0,0.8666666666666667,0.058823529411764705,0.11764705882352941,0.17647058823529413
bread,"['kitchen counter', 'bread bin', 'pantry', 'refrigerator', 'freezer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundt pan,"['kitchen cabinet', 'pantry', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter dish,"['refrigerator', 'countertop', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterknife,"['kitchen drawer', 'cutlery tray', 'utensil holder']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,"['kitchen', 'bathroom', 'bedroom', 'living room', 'hallway', 'garage']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
cake mix,"['pantry', 'cupboard', 'cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake pan,"['kitchen cabinet', 'pantry', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera,"['living room', 'bedroom', 'office', 'hallway', 'kitchen']",1.0,1.0,1.0,0.6666666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
can opener,"['kitchen drawer', 'countertop', 'utensil holder']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,"['living room', 'dining room', 'bedroom', 'bathroom', 'kitchen']",1.0,1.0,1.0,0.75,0.5,0.5,0.5
candle holder,"['living room', 'dining room', 'bedroom', 'bathroom', 'mantelpiece', 'coffee table', 'bookshelf']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.23529411764705882
candy,"['kitchen counter', 'pantry', 'candy jar', 'coffee table', ""child's bedroom"", 'living room', 'dining room table']",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
candy bar,"['kitchen counter', 'pantry', 'coffee table', 'nightstand', 'backpack', 'car console']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canister,"['kitchen counter', 'pantry', 'under the sink', 'garage shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
card game,"['living room', 'coffee table', 'bookshelf', 'game closet', 'drawer']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
carrying case,"['closet', 'under bed', 'attic', 'garage', 'living room', 'bedroom']",1.0,1.0,1.0,0.7000000000000001,0.058823529411764705,0.058823529411764705,0.17647058823529413
casserole dish,"['kitchen cabinet', 'oven', 'countertop', 'dining table', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd,"['living room', 'bedroom', 'office', 'entertainment center', 'bookshelf']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
cellphone,"['nightstand', 'couch', 'coffee table', 'kitchen counter', 'bedroom floor', 'bathroom counter', 'office desk', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,"['kitchen cupboard', 'pantry', 'countertop', 'breakfast table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chain,"['toolbox', 'jewelry box', 'drawer', 'nightstand', 'basement', 'attic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chair,"['living room', 'dining room', 'bedroom', 'kitchen', 'office', 'entryway']",1.0,1.0,0.8333333333333333,0.7777777777777777,0.3333333333333333,0.6666666666666666,0.6666666666666666
chocolate,"['pantry', 'kitchen counter', 'coffee table', 'nightstand', 'refrigerator', 'junk drawer', 'desk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate box,"['kitchen counter', 'pantry', 'coffee table', 'living room shelf', 'dining room table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate milk pods,"['refrigerator', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate powder,"['kitchen cabinet', 'pantry', 'countertop', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chopping board,"['kitchen counter', 'kitchen drawer', 'next to the sink', 'inside a cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
clamp,"['toolbox', 'garage', 'workshop', 'kitchen drawer', 'junk drawer']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
clay,"['art studio', 'craft room', 'kitchen', 'garage', 'basement', 'playroom']",0.3333333333333333,0.0,0.3333333333333333,0.41666666666666663,0.0,0.058823529411764705,0.11764705882352941
clock,"['living room', 'bedroom', 'kitchen', 'hallway', 'office/study']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
cloth,"['laundry basket', 'linen closet', 'bedroom', 'bathroom', 'living room', 'kitchen', 'dining room']",0.3333333333333333,0.0,0.3333333333333333,0.4777777777777777,0.0,0.058823529411764705,0.17647058823529413
coffee beans,"['kitchen counter', 'pantry', 'cupboard', 'coffee maker']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee pods,"['kitchen counter', 'pantry', 'coffee machine drawer', 'cabinet near coffee machine']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeemachine,"['kitchen counter', 'kitchen cabinet', 'dining area']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeemaker,"['kitchen counter', 'kitchen cabinet', 'dining area']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeetable,"['living room', 'family room', 'den']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
colored wood blocks,"[""child's bedroom"", 'playroom', 'living room', 'storage bin/closet']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
condiment,"['refrigerator', 'pantry', 'cupboard', 'countertop', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,"['kitchen', 'bathroom', 'laundry room']",1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
cracker box,"['kitchen pantry', 'kitchen counter', 'dining table', 'living room coffee table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
crayon,"[""child's bedroom"", 'playroom', 'art supply drawer', 'kitchen table', 'coffee table', 'floor']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
creditcard,"['wallet', 'purse', 'desk drawer', 'nightstand drawer', 'kitchen counter', 'junk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cube storage box,"['living room', 'bedroom', 'playroom', 'office', 'closet']",1.0,1.0,1.0,0.75,0.058823529411764705,0.17647058823529413,0.23529411764705882
cup,"['kitchen counter', 'kitchen sink', 'coffee table', 'bedside table', 'desk', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
curtain,"['window', 'doorway']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cushion,"['sofa', 'armchair', 'bed', 'floor']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
desk,"['home office', 'bedroom', 'living room', 'kitchen', 'garage']",0.5,0.0,0.5,0.5,0.0,0.5,0.5
desk caddy,"['desk', 'office', 'study', 'bedroom', ""child's room""]",0.25,0.0,0.0,0.25,0.0,0.0,0.058823529411764705
desklamp,"['desk', 'nightstand', 'bookshelf', 'living room table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
desktop,"['home office', 'bedroom', 'living room']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
diaper pack,"['nursery', 'changing table', 'bathroom', 'closet', 'under a bed']",0.3333333333333333,0.0,0.3333333333333333,0.41666666666666663,0.0,0.058823529411764705,0.11764705882352941
dietary supplement,"['medicine cabinet', 'kitchen counter', 'pantry', 'nightstand', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
diningtable,"['dining room', 'kitchen', 'living room']",0.5,0.0,0.25,0.25,0.0,0.5,0.5
dish drainer,"['kitchen sink', 'kitchen counter', 'next to sink']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
dishsponge,"['kitchen sink', 'under the kitchen sink', 'next to the dish soap', 'in a caddy by the sink']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
dishtowel,"['kitchen counter', 'kitchen sink', 'oven handle', 'dish drying rack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
dishwasher,"['kitchen', 'utility room']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
dispensing closure,"['kitchen counter', 'pantry', 'under the sink', 'bathroom counter', 'laundry room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog bowl,"['kitchen', 'mudroom', 'laundry room', 'living room', 'patio']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
dog chew toy,"['living room', 'bedroom', 'hallway', 'under furniture', 'dog bed']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
dogbed,"['living room', 'bedroom', 'hallway', 'laundry room']",1.0,1.0,1.0,1.0,0.5,1.0,1.0
dollhouse toy,"[""child's bedroom"", 'playroom', 'living room']",0.5,0.0,0.25,0.25,0.0,0.11764705882352941,0.11764705882352941
donut,"['kitchen counter', 'pantry', 'dining table', 'coffee table', 'trash can']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
drawer,"['bedroom', 'kitchen', 'bathroom', 'living room', 'office', 'hallway']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
dresser,"['bedroom', 'hallway', 'guest room', 'living room']",1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
drink,"['refrigerator', 'kitchen counter', 'coffee table', 'dining table', 'nightstand', 'desk']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink coaster,"['coffee table', 'end table', 'dining table', 'nightstand', 'bar cart']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
dryer,"['laundry room', 'basement', 'utility closet', 'garage']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
duct tape,"['toolbox', 'junk drawer', 'garage', 'basement', 'under the sink']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.058823529411764705,0.058823529411764705
dumbbell,"['bedroom', 'home gym', 'garage', 'living room']",1.0,1.0,0.8333333333333333,0.5555555555555555,0.058823529411764705,0.11764705882352941,0.17647058823529413
dumbbell rack,"['garage', 'basement', 'home gym', 'spare bedroom', 'living room']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.11764705882352941
dustpan and brush,"['utility closet', 'under the sink', 'laundry room', 'garage', 'near the back door']",0.25,0.0,0.0,0.25,0.0,0.0,0.058823529411764705
dutch oven,"['kitchen cabinet', 'stovetop', 'countertop', 'dining table', 'oven']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
easter basket,"['living room', 'dining room', 'kitchen', 'bedroom', 'hallway closet']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.23529411764705882
egg,"['refrigerator', 'countertop', 'pantry', 'sink', 'trash can']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
