object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"['bedroom', 'playroom', 'living room', 'closet', 'attic']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.23529411764705882
adjustable wrench,"['garage', 'toolbox', 'basement', 'workshop', 'storage closet', 'laundry room']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
alarmclock,"['bedside table', 'bedroom dresser', 'nightstand', 'closet', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
aluminumfoil,"['kitchen drawers', 'kitchen cabinets', 'pantry', 'on countertops', 'under the sink', 'garage or storage areas']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
android figure,"['desk', 'shelf', 'floor', 'table', 'closet', 'bedroom', 'living room', 'office', 'storage room']",0.2,0.0,0.0,0.2,0.0,0.0,0.058823529411764705
anti slip tape,"['bathrooms', 'stairs', 'kitchens', 'floors near entryways', 'garages']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
antidepressant,"['medicine cabinet', 'bathroom counter', 'bedroom nightstand', 'kitchen cabinet', 'refrigerator.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'kitchen table', 'refrigerator', 'fruit bowl', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'lounge', 'den']",1.0,1.0,1.0,1.0,0.5,1.0,1.0
backpack,"['entryway', 'closet', 'bedroom', 'living room', 'hallway', 'garage']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
balancing cactus,"['living room', 'bedroom', 'office', 'hallway', 'entryway']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
banana,"['kitchen counter', 'kitchen table', 'fruit bowl', 'pantry', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"['playroom', 'garage', 'backyard', 'closet', 'living room']",1.0,1.0,1.0,0.6875,0.058823529411764705,0.11764705882352941,0.23529411764705882
baseballbat,"['garage', 'closet', 'attic', 'basement', 'living room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'backyard', 'basement', 'living room', 'bedroom']",0.2,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['attic', 'garage', 'basement', 'closet', 'bedroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bath sheet,"['bathroom', 'linen closet', 'laundry room', 'bedroom']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.11764705882352941
bathtub,"['bathroom', 'ensuite', 'laundry room', 'basement', 'outdoor area']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bathtubbasin,"['bathroom', 'ensuite', 'laundry room', 'basement', 'outdoor area']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
batter,"['kitchen', 'pantry', 'refrigerator', 'dining room', 'garage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,"['junk drawer', 'garage', 'closet', 'kitchen counter', 'laundry room', 'bedroom nightstand']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
beard color gel,"['bathroom', 'bedroom', 'closet', 'dresser']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
beauty pack,"['bathroom', 'bedroom', 'closet', 'dresser']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
bed,"['bedroom', 'guest room', 'attic', 'basement', 'loft']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bleach cleanser,"['laundry room', 'kitchen', 'bathroom', 'garage', 'storage closet']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
blender jar,"['kitchen counter', 'kitchen cabinet', 'dishwasher', 'pantry', 'storage closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blind,"['windows', 'doors', 'living room', 'bedroom', 'kitchen', 'bathroom']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
board game,"['living room', 'playroom', 'closet', 'attic', 'garage', 'basement']",1.0,1.0,1.0,0.95,0.058823529411764705,0.17647058823529413,0.23529411764705882
book,"['bookshelf', 'living room', 'bedroom', 'home office', 'coffee table', 'nightstand']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
bookend,"['bookshelf', 'living room', 'home office', 'bedroom', 'study']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
boot,"['entryway', 'mudroom', 'closet', 'bedroom', 'laundry room']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
bottle,"['kitchen', 'dining room', 'pantry', 'refrigerator', 'cupboard', 'bedroom', 'bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bowl,"['kitchen', 'dining room', 'cupboard', 'pantry', 'table', 'countertop']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
box,"['attic', 'garage', 'storage closet', 'basement', 'living room', 'kitchen', 'bedroom', 'office']",0.5,0.0,0.5,0.45,0.0,0.058823529411764705,0.11764705882352941
bread,"['kitchen counter', 'pantry', 'kitchen table', 'dining table', 'bread box']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundt pan,"['kitchen cabinets', 'kitchen countertops', 'pantry', 'dining room china cabinet', 'storage closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter dish,"['kitchen counter', 'kitchen table', 'refrigerator', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterknife,"['kitchen drawer', 'kitchen counter', 'dining table', 'silverware organizer', 'utensil holder']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,"['kitchen', 'bathroom', 'bedroom', 'living room', 'hallway', 'garage', 'laundry room']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
cake mix,"['pantry', 'kitchen cabinets', 'countertops', 'dining table', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake pan,"['kitchen', 'pantry', 'cupboard', 'dining room', 'storage room']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.17647058823529413
camera,"['living room', 'bedroom', 'office/study', 'closet', 'shelf', 'drawer']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
can opener,"['kitchen countertop', 'kitchen drawer', 'pantry', 'cupboard', 'garage', 'basement storage']",0.2,0.0,0.0,0.2,0.0,0.0,0.058823529411764705
candle,"['living room', 'dining room', 'bedroom', 'bathroom', 'hallway', 'kitchen']",1.0,1.0,1.0,0.75,0.5,0.5,0.5
candle holder,"['living room', 'dining room', 'bedroom', 'hallway', 'kitchen']",1.0,1.0,1.0,0.75,0.058823529411764705,0.17647058823529413,0.23529411764705882
candy,"['kitchen', 'pantry', 'living room', 'bedroom', 'dining room']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.05555555555555555,0.1111111111111111,0.2222222222222222
candy bar,"['kitchen counter', 'pantry', 'cupboard', 'bedroom nightstand', 'living room coffee table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canister,"['kitchen', 'pantry', 'cupboard', 'storage room', 'garage', 'basement']",1.0,1.0,1.0,0.7000000000000001,0.058823529411764705,0.058823529411764705,0.17647058823529413
card game,"['living room', 'family room', 'game room', 'bedroom', 'closet', 'attic']",1.0,1.0,1.0,0.7000000000000001,0.058823529411764705,0.058823529411764705,0.17647058823529413
carrying case,"['entryway', 'closet', 'bedroom', 'office', 'garage']",0.5,0.0,0.5833333333333333,0.38888888888888884,0.0,0.11764705882352941,0.17647058823529413
casserole dish,"['kitchen', 'dining room', 'cupboard', 'pantry', 'storage room']",1.0,1.0,1.0,0.6666666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
cd,"['living room', 'bedroom', 'home office', 'entertainment room', 'closet']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
cellphone,"['living room', 'bedroom', 'kitchen', 'office/study', 'entryway/hallway']",1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
cereal,"['kitchen pantry', 'kitchen cabinets', 'kitchen countertops', 'dining table', 'breakfast nook']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chain,"['garage', 'toolbox', 'closet', 'basement', 'attic']",1.0,1.0,0.8333333333333333,0.8333333333333333,0.058823529411764705,0.11764705882352941,0.11764705882352941
chair,"['living room', 'dining room', 'kitchen', 'bedroom', 'office/study', 'hallway', 'patio/outdoor area']",1.0,1.0,0.8333333333333333,0.7777777777777777,0.3333333333333333,0.6666666666666666,0.6666666666666666
chocolate,"['kitchen', 'pantry', 'cupboard', 'refrigerator', 'bedroom', 'living room']",1.0,1.0,1.0,0.7,0.058823529411764705,0.058823529411764705,0.11764705882352941
chocolate box,"['kitchen counter', 'pantry', 'dining table', 'living room coffee table', 'bedroom nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate milk pods,"['kitchen counter', 'pantry', 'refrigerator', 'cupboard', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate powder,"['kitchen', 'pantry', 'cupboard', 'dining room', 'living room']",1.0,1.0,1.0,0.5,0.058823529411764705,0.058823529411764705,0.17647058823529413
