object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"[""children's bedroom"", 'playroom', 'living room', 'home office', 'basement', 'attic']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
adjustable wrench,"['garage', 'basement', 'tool shed', 'utility room', 'workshop', 'kitchen drawer']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
alarmclock,"['bedroom', 'bedside table', 'nightstand', 'guest room', ""children's room""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
aluminumfoil,"['kitchen', 'pantry', 'storage cabinet', 'drawer']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
android figure,"['living room', 'bedroom', 'office', 'playroom', 'shelf']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
anti slip tape,"['garage', 'basement', 'utility room', 'workshop', 'storage closet']",1.0,1.0,0.8333333333333333,0.8333333333333333,0.058823529411764705,0.11764705882352941,0.11764705882352941
antidepressant,"['medicine cabinet', 'bathroom counter', 'bedside table', 'kitchen counter', 'purse or bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'refrigerator', 'fruit bowl', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'home office', 'reading nook']",1.0,1.0,1.0,1.0,0.5,1.0,1.0
backpack,"['entryway', 'bedroom', 'closet', 'living room', 'mudroom']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
balancing cactus,"['living room', 'playroom', ""children's room"", 'family room', 'game room']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
banana,"['kitchen counter', 'fruit bowl', 'refrigerator', 'pantry', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"['garage', 'basement', ""child's bedroom"", 'living room', 'backyard', 'closet']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
baseballbat,"['garage', 'basement', 'closet', 'bedroom', 'sports equipment room']",0.25,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'basement', 'bedroom', 'living room', 'backyard']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['garage', 'basement', 'attic', 'closet', 'sports equipment room']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
bath sheet,"['linen closet', 'bathroom', 'laundry room', 'bedroom']",0.5,0.0,0.5,0.25,0.0,0.058823529411764705,0.11764705882352941
bathtub,"['bathroom', 'master bathroom', 'guest bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bathtubbasin,"['bathroom', 'basement', 'garage']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
batter,"['kitchen', 'pantry', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,"['junk drawer', 'garage', 'utility room', 'office desk drawer', 'kitchen drawer', 'basement', 'toolbox']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
beard color gel,"['bathroom', 'bedroom', 'personal grooming area', 'closet', 'vanity table']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
beauty pack,"['bathroom', 'bedroom', 'vanity table', 'dressing room', 'closet']",1.0,1.0,1.0,0.6666666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
bed,"['bedroom', 'guest room', 'master bedroom', ""children's room"", 'dormitory', 'nursery']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bleach cleanser,"['laundry room', 'bathroom', 'kitchen', 'utility closet', 'garage']",0.5,0.0,0.5833333333333333,0.38888888888888884,0.0,0.11764705882352941,0.17647058823529413
blender jar,"['kitchen counter', 'kitchen cabinet', 'pantry', 'dishwasher', 'kitchen island']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blind,"['windows', 'living room', 'bedroom', 'kitchen', 'bathroom']",0.5,0.0,0.5833333333333333,0.611111111111111,0.0,0.6666666666666666,0.6666666666666666
board game,"['living room', 'game room', 'family room', 'closet', 'basement', 'attic', 'bedroom']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
book,"['bookshelf', 'living room', 'bedroom', 'study', 'office', 'coffee table', 'nightstand', 'library', 'reading nook', 'desk']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
bookend,"['bookshelf', 'living room', 'study', 'office', 'library', 'bedroom']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
boot,"['entryway', 'closet', 'mudroom', 'garage', 'bedroom']",0.2,0.0,0.0,0.0,0.0,0.0,0.0
bottle,"['kitchen', 'refrigerator', 'pantry', 'dining room', 'garage', 'bathroom', 'living room', 'bedroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bowl,"['kitchen', 'dining room', 'pantry', 'living room', 'cabinet']",1.0,1.0,1.0,0.9166666666666666,0.058823529411764705,0.11764705882352941,0.17647058823529413
box,"['storage room', 'garage', 'attic', 'basement', 'closet', 'pantry', 'office', 'bedroom', 'living room', 'kitchen']",1.0,1.0,1.0,0.8666666666666667,0.058823529411764705,0.11764705882352941,0.17647058823529413
bread,"['kitchen counter', 'pantry', 'bread box', 'refrigerator', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundt pan,"['kitchen cabinet', 'pantry', 'kitchen drawer', 'storage closet', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter dish,"['kitchen counter', 'refrigerator', 'dining table', 'kitchen cabinet', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterknife,"['kitchen drawer', 'utensil holder', 'dishwasher', 'dining table', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,"['kitchen', 'bathroom', 'living room', 'bedroom', 'garage', 'basement', 'laundry room']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
cake mix,"['pantry', 'kitchen cabinet', 'kitchen counter', 'baking supplies drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake pan,"['kitchen cabinet', 'pantry', 'kitchen drawer', 'kitchen shelf', 'storage closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera,"['living room', 'office', 'bedroom', 'closet', 'storage room']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.058823529411764705,0.11764705882352941,0.23529411764705882
can opener,"['kitchen drawer', 'kitchen countertop', 'pantry', 'kitchen cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,"['living room', 'bedroom', 'bathroom', 'dining room', 'kitchen']",1.0,1.0,0.75,0.75,0.5,0.5,0.5
candle holder,"['living room', 'dining room', 'bedroom', 'kitchen', 'bathroom', 'hallway', 'outdoor patio']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.29411764705882354
candy,"['kitchen', 'pantry', 'living room', 'dining room', 'office', 'bedroom', ""children's room""]",1.0,1.0,0.8333333333333333,0.8055555555555555,0.05555555555555555,0.1111111111111111,0.16666666666666666
candy bar,"['kitchen pantry', 'kitchen cabinet', 'refrigerator', 'snack drawer', 'living room table', 'office desk', ""child's bedroom"", 'backpack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
